stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,55.17,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.29,0,0,0,5.26,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,40.91,0,0,0,9.44,0,3.15,0,0,0,0,0,0
 14-21,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,5,0,0,0,1,0,5,0,0,0,0,0,0
 24-34,0,0,0,0.82,0,1.64,0,0,0,0,0,0,0,0,0,0,0,0,1.64,0,0,0,17.24,0,3.28,0,0,0,27.09,0,0,0,0,0,0
 36-46,0,0,0,0,0,21.75,0,0,0,0.81,0,0,0,0,0,0,0,0,0.81,0,0,0.81,8.86,0,0,0.81,0,0,37.06,0,0.81,0,0,0,0
 48-58,0,0,0,0,0,137.71,0,1.15,0,1.15,0,0,0,0,0,0,0,0,3.44,0,0,0,25.82,0,0,0,0,0,38.44,0,2.3,0,0,0,0
 60-70,0,0,0,0.98,0.98,738.1,0,0.98,0,2.94,0,0,0,0,0,0,0,0,4.91,0,0,0,65.76,0,0,0.98,0,0,30.43,0,1.96,0,0,0,0.98
 72-82,0,0.98,0,3.93,1.96,1242.78,0.98,0.98,1.96,42.21,0,1.96,0.98,0,1.96,0,0,0,19.63,0.98,0.98,0.98,193.39,0,0,0,0,0,9.82,0,3.93,0,1.96,1.96,1.96
 84-94,0,0,0,18.05,0,872.99,0,1.06,0,33.99,0,1.06,1.06,1.06,1.06,0,1.06,0,16.99,0,1.06,0,118.95,0,0,2.12,0,1.06,26.55,0,7.43,0,1.06,3.19,1.06
 96-106,0,0,0,4.37,1.09,709.26,0,2.19,0,29.51,1.09,1.09,1.09,0,0,0,0,1.09,13.11,0,1.09,1.09,138.79,1.09,1.09,3.28,0,0,4.37,1.09,6.56,1.09,3.28,2.19,1.09
108-118,0,0,0,6.89,1.53,448.85,0.77,0.77,0,9.96,0.77,0,0.77,1.53,0,0.77,0,0,12.26,1.53,2.3,1.53,116.43,2.3,1.53,0.77,0,0,2.3,0,1.53,0.77,1.53,0.77,0
120,0,0,0,3.92,1.96,374.32,0,0,1.96,19.6,0,0,3.92,0,3.92,0,0,1.96,19.6,0,0,0,172.46,1.96,1.96,0,0,0,1.96,0,0,0,1.96,0,1.96
