stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,276.74,4941.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131.78,0,0,0,0,0,0,0,0,0
  5-6,214.54,3015.78,0,0,0,0,0,0,0,0,0,24.52,0,0,0,0,0,0,0,0,0,0,0,73.56,6.13,0,0,24.52,42.91,0,0,0,0,0,0,0,0,0
  7-9,21.03,10.51,0,2.63,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,194.52,26.29,0,0,52.57,0,13.14,0,0,0,0,0,0,0,0
 10-12,3.15,0,0,3.15,0,0,3.15,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,9.44,107,0,0,3.15,0,9.44,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,1,0,0,7,1,0,0,0,0,0,0,0,0,1,0,0,0,14,113,0,0,0,0,3,1,1,0,0,66,0,0,0
 24-34,0,0,1.64,0,0,0,0,0,0,4.1,0,0,0.82,0,0,0,0,0,0,0,0,0,0,13.95,13.13,0.82,0,0,0,0,0,0.82,0,0.82,53.36,0,0.82,0
 36-46,0,0,0,0,0,0,0,0,0.81,0,0,0,0,0.81,0,0,0,0,0,2.42,0,0,0,17.72,2.42,0.81,0,0,0,3.22,0,2.42,0,0,37.87,0,0,0
 48-58,0,0,0,0,0.57,0,0,0,0.57,0,0,0,0,0,0,0,0,0,0,1.72,0.57,0,0,23.53,2.3,0.57,0,0,0.57,0,0,1.15,0,0,20.66,0,0.57,0
 60-70,0,0,0,0,0.98,0,8.83,0,1.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.33,3.93,1.96,0.98,0,0,0,0,0,0,0,4.91,2.94,0,0
 72-82,0,0,0,0,0.98,0,11.78,0,0,2.94,0,0,0,0,0,0.98,0,0,0.98,4.91,1.96,0,0,35.34,1.96,0,0,0,0.98,0,0,2.94,0,0,13.74,5.89,0,3.93
 84-94,0,0,0,0,3.19,1.06,6.37,0,4.25,1.06,0,0,0,1.06,0,0,0,0,0,6.37,1.06,1.06,0,13.81,2.12,1.06,0,0,0,0,0,9.56,1.06,0,2.12,6.37,0,10.62
 96-106,0,0,0,0,1.09,0,5.46,0,1.09,1.09,0,0,0,1.09,1.09,0,1.09,1.09,0,7.65,0,0,0,13.11,6.56,1.09,0,0,1.09,2.19,0,6.56,1.09,0,5.46,9.84,1.09,6.56
108-118,0,0,0,0.77,0.77,0,6.89,1.53,5.36,0,0,0,0,0.77,0,0.77,0,0,0,5.36,0,0,0,20.68,3.06,0,0,0,0,1.53,0,7.66,0,0,4.6,9.96,0,5.36
120,0,0,0,0,7.84,0,1.96,0,1.96,0,0,0,0,0,0,1.96,0,0,0,5.88,0,0,1.96,29.4,1.96,0,1.96,0,1.96,1.96,0,7.84,0,0,3.92,7.84,0,0
