stage,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,ionocyte,mesenchyme,mural_cell,muscle,neural,notochord,periderm,pronephros,spinal_cord,vasculature
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0
 14-21,0,1,1,0,0,0,0,0,0,0,0,2,0,0,0,1,0
 24-34,0,0,0,0.82,0,0,0,0,0.82,0,0.82,10.67,0,1.64,0,0.82,0
 36-46,0,0,0,1.61,0,0,0,0,0,0,0,4.83,0,1.61,0,0,0
 48-58,0,0,0,0.57,0,0,0.57,0,1.72,0.57,0,6.89,0,0,0,0.57,0
 60-70,0,0,0,0.98,0.98,0,0,0,0.98,0.98,0.98,6.87,0,1.96,0,0,0
 72-82,0,0,0,0,0,0.98,1.96,0,0.98,0,0,0,0,0,0,0.98,0
 84-94,0,0,0,1.06,0,0,0,1.06,1.06,0,0,0,0,2.12,0,0,1.06
 96-106,0,0,0,1.09,0,0,0,0,0,0,1.09,2.19,0,2.19,0,0,0
108-118,0,0,0,0,0.77,0,0.77,0,0,0,0,1.53,0,2.3,0.77,0,0
120,0,0,0,0,0,0,0,0,0,0,0,0,1.96,0,0,0,0
