stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,pericytes,periderm,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,65.89,803.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0
  5-6,24.52,288.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.14,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,9.44,0,0,0,6.29,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,18.88,0,0,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,0,17,8,0,2,0,0,0,0,6,2,0,0,2,0,5,1,0,7,14,1,0,0,0,9,1,5,0,0,1,0,0
 24-34,0,0,0.82,0,11.49,0.82,0,2.46,0,1.64,0,0,0,0,0,0,2.46,0,9.03,0,0,4.93,20.52,2.46,0.82,0,0,0,0,6.57,0,0,4.1,0,0
 36-46,0,0,0.81,0,5.64,0,0,6.45,0,0,0,0,0,0,0,1.61,0.81,0,21.75,0,0.81,5.64,55.59,0,0,0,0,3.22,0,8.86,0,0,4.03,0,0
 48-58,0,0,0.57,0,9.75,0,0,8.61,0.57,3.44,0,0.57,0,0,0.57,0,0,0,16.07,0.57,0.57,4.02,26.4,0,1.72,0,0.57,0,0,2.87,0,0,0.57,0,0
 60-70,0,0,0,0,13.74,0.98,0,28.46,0.98,0,0,0,0,0,0,1.96,0.98,0,41.22,0,0,0.98,34.35,0,2.94,0,0,0,0,2.94,0,0,0,0,0.98
 72-82,0,0,0.98,0,22.58,1.96,0,25.52,0,1.96,1.96,2.94,0,0,0,1.96,0.98,0,25.52,0,0.98,3.93,14.72,0,5.89,0,0,0.98,0,1.96,1.96,2.94,6.87,2.94,0
 84-94,0,0,0,1.06,66.91,1.06,0,11.68,0,10.62,0,2.12,0,0,0,2.12,2.12,0,23.36,1.06,0,1.06,8.5,1.06,4.25,0,0,5.31,0,0,4.25,0,1.06,1.06,0
 96-106,0,0,1.09,1.09,61.2,0,0,5.46,0,10.93,5.46,6.56,4.37,0,0,7.65,3.28,0,16.39,1.09,1.09,2.19,12.02,1.09,7.65,0,0,5.46,0,0,6.56,0,5.46,5.46,0
108-118,0.77,0,0,0,65.87,0.77,0,9.19,0,8.43,0,2.3,3.06,0,0,3.83,0.77,0.77,16.09,0.77,0.77,1.53,16.09,0.77,3.06,0,0,14.55,0,0.77,4.6,0.77,3.83,0.77,0.77
120,0,0,0,0,43.12,1.96,1.96,5.88,0,9.8,0,1.96,3.92,0,0,7.84,5.88,0,5.88,0,0,0,7.84,0,0,0,0,3.92,0,0,3.92,0,0,0,0
