stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,250.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,134.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.39,0,0,0,6.13,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,13.14,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,44.69,2.63,0,0,31.54,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,6.29,0,3.15,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,135.32,22.03,0,0,28.32,0,3.15,0,12.59,0,0,0,0,0,0,0
 14-21,0,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,2,13,2,0,0,0,1,0,3,1,1,2,3,0,0,0,0
 24-34,0,0,1.64,0,2.46,0,5.75,0,0,0,0.82,0,0,0,0,0,0,0,0,0.82,6.57,0,0,1.64,45.97,0,0,0,0,9.03,0,0,0,0,3.28,13.13,0,3.28,0,0.82
 36-46,0,0,0,0,0.81,0,12.89,0.81,0,0,5.64,0,0,0.81,0,0,0,0,0,0,4.83,0,0,2.42,114.41,0.81,2.42,0,0,4.83,0,0,0,0,0,25.78,0,4.83,0,4.03
 48-58,0,0,0,0,1.15,0.57,28.12,0,0.57,0.57,8.03,0,0,0.57,0,0,0.57,0,0,2.3,10.33,0,0.57,2.87,109.02,1.15,0.57,0,0,2.3,0,0,0.57,0.57,0,33.85,0,1.72,0,2.87
 60-70,0,0,0,0,1.96,0,53.98,0,0.98,1.96,25.52,1.96,0,0.98,0.98,0,2.94,0,0,0,20.61,0,0,0,229.68,0,0,0.98,0,7.85,0,0,0,0,0,27.48,0,2.94,0,0
 72-82,0,0,1.96,0,2.94,0,36.32,0,0,0.98,2.94,0.98,0,0,0.98,0,0.98,0,0,0.98,14.72,0,0.98,3.93,126.63,0,3.93,0.98,0,2.94,0,0,0.98,0,0,5.89,0,4.91,0,0
 84-94,0,0,0,0,5.31,0,22.3,0,0,0,6.37,2.12,0,0,1.06,2.12,1.06,1.06,0,2.12,3.19,0,0,0,43.54,0,0,3.19,0,14.87,0,0,2.12,0,0,4.25,1.06,4.25,1.06,1.06
 96-106,0,0,0,0,5.46,0,16.39,0,1.09,0,6.56,2.19,0,0,2.19,1.09,0,0,1.09,0,12.02,0,0,4.37,43.71,0,1.09,1.09,0,12.02,0,0,0,0,0,1.09,0,0,2.19,1.09
108-118,0,0,0,0,4.6,0,15.32,0,0,0,6.13,4.6,0,0,0,0,0.77,0,0.77,1.53,6.89,0.77,0.77,3.06,26.81,0,0.77,2.3,0,7.66,0,0,2.3,0,0,0,0,0.77,0.77,0.77
120,0,0,0,0,1.96,0,17.64,0,3.92,0,1.96,5.88,0,0,0,0,1.96,3.92,3.92,0,5.88,0,0,0,37.24,1.96,0,0,0,7.84,0,0,3.92,1.96,0,3.92,1.96,3.92,0,0
