stage,blastomeres,eye,fast.muscle,glial,immune,iridophores,mesenchyme,neural,olfactory,paraxial.mesoderm,periderm,spinal.cord,taste
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,2.63,0,0,0
 10-12,0,0,0,0,0,0,0,3.15,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0.81,1.61,0,0,0,0
 48-58,0,0,0,0,0,0,0,0.57,1.72,0,0,0.57,0
 60-70,0,0,0,0.98,0,0,0,0.98,0.98,0,0,0,0
 72-82,0,0,0,0,0,0,0,0,0.98,0,0,0,0
 84-94,0,0,0,0,0,0,0,1.06,4.25,0,0,0,0
 96-106,0,1.09,0,1.09,1.09,0,0,0,6.56,0,2.19,0,0
108-118,0,0,0.77,0,0,0,0.77,0.77,3.06,0,0,0,0.77
120,0,0,0,0,0,1.96,0,0,7.84,0,0,0,0
