stage,axial,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pgc,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,0,0,4,3,0,1,0,0,0,0,0,0,6,0,1,0,0,0,1,4,0,0,0,248,2,0,0,0,0,0,0,0,0,129,0,0,0,0,0
 24-34,0,0.82,0,4.93,0,0,16.42,0,0,1.64,11.49,0.82,0,9.85,0.82,0,1.64,0.82,0.82,0,17.24,0,0,6.57,1575.22,1.64,13.13,0.82,0.82,2.46,0,0,0.82,0.82,445.72,0,0,8.21,0,0
 36-46,0,0,0,3.22,0,0,128.91,0,0,0.81,39.48,0.81,0,8.06,0,0,1.61,0,0,0,13.7,0,0.81,4.03,3689.97,0,12.89,0,0,4.03,0,0,0,0,732.35,0,0,4.83,0.81,1.61
 48-58,0.57,0.57,0,13.2,1.72,0,566.92,0.57,2.3,1.15,112.47,0,0,6.89,1.15,0,1.72,0.57,1.15,2.3,53.36,0.57,2.3,12.62,4837.75,0.57,8.61,0.57,0,4.02,0,0,0,0,882.51,0,0.57,5.74,0,4.59
 60-70,0,0,0,12.76,1.96,0,903,0,3.93,3.93,107.97,0.98,0,3.93,1.96,1.96,6.87,0,0.98,0,46.13,0.98,2.94,5.89,5419.96,0.98,6.87,1.96,0.98,7.85,0,1.96,0,0,671.36,0,2.94,2.94,1.96,8.83
 72-82,0,2.94,0,30.43,15.71,0,1113.2,1.96,2.94,5.89,140.38,0.98,0.98,2.94,3.93,1.96,22.58,3.93,0,0,109.95,0.98,10.8,6.87,4328.15,0,9.82,4.91,3.93,11.78,0,0,0.98,0,377.94,2.94,6.87,18.65,7.85,4.91
 84-94,0,0,0,50.98,2.12,0,784.85,0,3.19,4.25,106.2,3.19,0,7.43,6.37,1.06,21.24,2.12,0,3.19,59.47,0,10.62,6.37,2266.39,0,7.43,5.31,5.31,9.56,0,0,0,0,223.03,3.19,4.25,13.81,7.43,0
 96-106,0,2.19,0,40.44,16.39,1.09,632.76,1.09,1.09,4.37,111.47,5.46,0,10.93,3.28,1.09,33.88,3.28,6.56,1.09,93.98,1.09,4.37,4.37,1907.02,0,10.93,4.37,3.28,17.49,1.09,0,0,0,80.87,1.09,6.56,12.02,10.93,2.19
108-118,0,0,0.77,28.34,6.89,0,492.51,0,3.83,1.53,75.06,3.83,0,6.89,4.6,1.53,50.55,0,1.53,0.77,59.75,0.77,4.6,2.3,2674.74,1.53,10.72,3.06,3.83,5.36,0,0.77,0,0,76.6,3.06,3.06,9.19,6.13,2.3
120,1.96,1.96,0,21.56,5.88,0,393.92,1.96,0,5.88,60.75,3.92,0,3.92,5.88,0,43.12,0,0,0,47.03,0,1.96,9.8,2251.79,3.92,7.84,3.92,0,11.76,0,3.92,0,0,76.43,1.96,3.92,5.88,0,1.96
