stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,0,0,0,3.15,0,0,0,0,0
 14-21,0,0,8,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,1,2,0,0,0,0,0,3,1,9,0,0,0,0
 24-34,0,0,2.46,0,0,107.53,0,0,0,0,0,0,0.82,0,0,0,0,0,0,0.82,6.57,0,0,0,0,0,0,0,0,0.82,0,0,0
 36-46,0,0.81,2.42,0,0,912.82,0,0,0,0,0,0,0.81,0.81,0,0,0.81,1.61,0,1.61,26.59,0,0,0,0,1.61,0,0.81,0,8.06,0,0,0
 48-58,0,1.15,5.16,0,0,1528.62,0,0.57,0.57,9.75,0,0.57,1.72,0,1.15,0,0.57,4.02,1.15,2.3,74.02,0,0,0.57,0.57,1.15,0,0.57,0,10.9,0,1.15,0
 60-70,0,0,4.91,0.98,0,1496.82,0,2.94,0.98,0.98,0,0,5.89,0,0,0,0,2.94,0,0.98,46.13,0,0,0,0,1.96,0,0,0,1.96,0,1.96,0
 72-82,0,0,10.8,0.98,0,718.58,0.98,0,0.98,8.83,0,1.96,2.94,2.94,0,0.98,0,1.96,0,0,24.54,0,0,0.98,0,0,0,0,0,0,0,4.91,0
 84-94,0,0,15.93,0,0,574.56,0,2.12,0,12.74,3.19,0,3.19,4.25,1.06,1.06,0,6.37,2.12,1.06,25.49,0,1.06,0,0,2.12,0,0,0,5.31,0,1.06,0
 96-106,0,0,13.11,0,1.09,318.02,0,0,0,2.19,0,1.09,8.74,5.46,0,0,0,2.19,0,0,20.76,0,3.28,0,0,1.09,0,1.09,0,0,1.09,3.28,0
108-118,0,0,13.79,0.77,0.77,232.85,0,2.3,0,1.53,3.06,0,7.66,5.36,0,0,0.77,3.06,0,0.77,26.81,0,0.77,1.53,0,3.06,0,0,0,0.77,1.53,2.3,0.77
120,0,0,11.76,0,0,197.94,0,0,0,5.88,1.96,0,9.8,1.96,0,0,0,3.92,0,0,19.6,1.96,0,0,0,1.96,0,0,0,0,0,1.96,0
