stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,glial,gut,hatching.gland,ionocyte,mesenchyme,mucous,muscle,neural,paraxial.mesoderm,periderm,pgc,somites,spinal.cord,taste,visceral.smooth.muscle
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,7.89,0,0,0,0,7.89,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,28.32,6.29,0,0,0,0,0,0
 14-21,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.82,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.81,0,0
 48-58,0,0,2.87,0,0,0,0,0,0,0,0,0,0,0,0.57,0,0.57,0,0,0.57,0,0
 60-70,0,0,17.67,0,0,0.98,0,0.98,0,0,0,0,0.98,0,0,0,3.93,0,0,0,0,0
 72-82,0,0.98,75.59,0,0,2.94,0,0.98,0,0,1.96,0.98,0,0,1.96,0,15.71,0.98,0,0,0,0
 84-94,0,0,194.35,1.06,0,0,4.25,1.06,0,0,22.3,1.06,5.31,0,4.25,0,38.23,0,0,0,2.12,0
 96-106,0,0,189.06,1.09,0,2.19,6.56,0,1.09,0,16.39,3.28,0,1.09,9.84,0,60.11,1.09,0,0,1.09,0
108-118,0,0,205.28,0,0,0.77,9.19,1.53,0.77,0,22.98,2.3,3.06,0,1.53,0,79.66,0,0,0,2.3,0.77
120,0,0,72.51,0,1.96,1.96,7.84,1.96,0,0,3.92,0,0,0,0,0,47.03,0,0,1.96,0,0
