stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.mesenchyme,glial,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,2.63,2.63,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,0,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,1,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,17,0,0,0,0,1,1,1,2,3,0,0,0,0
 24-34,0,0,0,1.64,0,4.1,0,1.64,0,0,0,0,0,0,3.28,0,2.46,59.92,1.64,0,0,0,0,0,0,1.64,18.88,0,0.82,0,0
 36-46,0,0,0,0.81,0,9.67,0,3.22,0,0,0,0.81,0.81,0,8.86,0,0.81,66.87,0,0.81,0,0,0.81,0,0,0,19.34,0,1.61,0,0
 48-58,0,0,0,1.15,0,15.49,0.57,8.61,0,0,0,0,0,0.57,10.33,1.15,2.3,54.51,0,1.15,1.15,0,1.15,0,0,0,14.35,0.57,1.15,0,0
 60-70,0,0.98,0,0.98,0,26.5,0,8.83,0,0,0,0,0,0,10.8,5.89,1.96,35.33,0,0,0.98,0,0.98,0,0,0,7.85,1.96,0.98,2.94,0.98
 72-82,0,0.98,0,0,0,20.61,1.96,5.89,0,0,0,0,0,0,12.76,12.76,0,34.36,0,0,0,0,0.98,0,0,0,1.96,4.91,2.94,5.89,0.98
 84-94,0,0,0,1.06,0,6.37,0,5.31,0,2.12,1.06,0,0,1.06,4.25,5.31,0,11.68,0,0,0,0,1.06,0,0,0,1.06,5.31,2.12,12.74,0
 96-106,0,1.09,0,1.09,1.09,12.02,1.09,0,1.09,0,1.09,0,0,0,5.46,8.74,1.09,12.02,0,1.09,0,0,2.19,0,0,0,2.19,0,1.09,12.02,0
108-118,0,0,0,0,0,6.89,0,2.3,1.53,0,0,0.77,0,0.77,6.13,7.66,0,16.85,0,1.53,0,0,0.77,0,0,0,0,0,0,4.6,0
120,0,0,0,0,0,3.92,0,0,0,0,0,0,0,0,3.92,5.88,3.92,11.76,0,1.96,0,0,0,0,0,0,0,0,1.96,0,0
