stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,pericytes,periderm,pgc,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  7-9,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,0,0,0,15,0,1,0,0,0,17,0,1,2,0,0,0,0
 24-34,0,1.64,0,0,0,0.82,0,0,0.82,0.82,1.64,0.82,1.64,0,0,0,0.82,0,0,7.39,0,0,2.46,69.77,0,10.67,0,0,0,64.85,0.82,0.82,13.13,0,0,0,0
 36-46,0,0,0.81,0,0,9.67,0,0,0,12.09,3.22,0,1.61,0,0,0,0.81,0.81,0,4.83,0,0.81,0,252.17,0,7.25,0,0,0,43.51,0,0,66.87,0,0,0,0
 48-58,0.57,0,0.57,0,0,68.86,0.57,0,1.15,24.1,4.59,0,1.15,0,0,0,2.87,1.15,0,8.03,0,1.72,0.57,547.41,0,10.33,0,0,0,23.53,0,0,109.6,1.15,0,0.57,2.3
 60-70,0,0,0,0,0,193.36,0,0.98,0,43.19,14.72,0,3.93,0.98,0,0.98,10.8,0,0,21.59,0,1.96,0,1005.08,0,29.45,0.98,1.96,0,31.41,0,0,123.67,0.98,0.98,0.98,4.91
 72-82,2.94,0,9.82,4.91,0,343.58,0,0.98,1.96,66.75,24.54,0,10.8,0,0,0,22.58,0.98,0.98,46.14,0,5.89,0.98,1273.22,0,45.16,1.96,2.94,0,46.14,0.98,0,135.47,4.91,6.87,8.83,3.93
 84-94,8.5,0,8.5,0,0,212.41,0,0,1.06,67.97,57.35,0,5.31,2.12,0,0,39.3,1.06,1.06,19.12,0,5.31,0,698.82,1.06,79.65,0,3.19,0,91.34,0,0,72.22,3.19,4.25,11.68,8.5
 96-106,4.37,1.09,8.74,4.37,0,214.2,1.09,1.09,3.28,52.46,71.04,0,8.74,1.09,1.09,0,52.46,0,0,19.67,0,6.56,1.09,631.67,1.09,87.43,0,4.37,0,114.75,0,0,42.62,1.09,12.02,15.3,15.3
108-118,3.83,3.06,9.19,1.53,0.77,163.15,0.77,0,2.3,58.21,59.75,0,6.13,0.77,0.77,3.06,37.53,1.53,0,20.68,0.77,3.06,1.53,940.6,2.3,65.87,0,1.53,0,88.85,0,0,28.34,0,7.66,15.32,8.43
120,7.84,0,17.64,1.96,0,148.94,1.96,1.96,0,50.95,43.12,0,7.84,0,0,1.96,29.4,1.96,0,13.72,0,3.92,0,1077.88,0,62.71,1.96,1.96,1.96,76.43,0,0,25.48,0,11.76,19.6,7.84
