stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,slow.muscle,somites,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,184.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,110.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0
  7-9,2.63,0,0,10.51,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.32,0,0,0,10.51,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,9.44,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.2,0,0,0,6.29,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,10,1,0,0,0,0,0,0,1,2,0,0,1
 24-34,0,0,0,0,2.46,4.1,0,0.82,0,0.82,0,0,0,0,0,0.82,2.46,0,0,2.46,45.15,0,0,1.64,0,2.46,0,0.82,0.82,7.39,0,0,0.82
 36-46,0,0,0,0,0,6.45,1.61,0,0,4.83,0,0,0,0,0,0,4.83,0,0,0.81,21.75,0,0,0,0,1.61,0,0,0,4.03,2.42,0,0.81
 48-58,0,0,0,0,1.15,5.74,0,0,0,3.44,0,0.57,0,0.57,0,0,3.44,0,0.57,1.15,10.33,0.57,0,0.57,0,0,0,0,0,4.59,0.57,0,0
 60-70,0,0,0,0,0,4.91,0,0,0.98,4.91,0,0,0,0,0,0,14.72,0.98,0,1.96,13.74,0,1.96,0.98,0,0.98,0.98,0,0,1.96,1.96,0,0
 72-82,0,0,0,0,0,5.89,0,0,0.98,2.94,0,0,0.98,0,0.98,0,6.87,0,0.98,0,1.96,0,0,0,0,0,0,0,0,0.98,0,0,0
 84-94,0,0,1.06,0,1.06,0,0,0,0,1.06,0,0,0,0,0,0,5.31,0,0,0,3.19,0,1.06,0,0,0,1.06,0,0,0,0,0,0
 96-106,0,0,0,0,1.09,2.19,1.09,0,0,0,1.09,0,0,0,0,0,0,0,0,1.09,0,0,0,0,0,1.09,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0,0,0.77,0,0.77,0,0,0,0.77,0,0,3.83,0.77,0,0.77,5.36,0,0,0,0,0,0,0,0,0,0,0.77,0
120,0,0,0,0,3.92,3.92,0,1.96,0,5.88,0,0,0,1.96,1.96,0,7.84,0,0,0,9.8,0,0,0,0,0,0,0,0,0,1.96,0,0
