stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,gut,hatching.gland,lateral.line,mesenchyme,muscle,neural,paraxial.mesoderm,periderm,pronephros,spinal.cord
  3-4,0,263.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,30.65,214.54,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0
  7-9,5.26,2.63,7.89,0,0,13.14,0,0,7.89,0,0,0,118.29,21.03,0,0,0
 10-12,0,0,6.29,0,0,6.29,0,0,0,0,0,0,44.06,40.91,0,3.15,0
 14-21,0,0,1,14,1,0,0,3,0,0,22,10,7,1,1,0,1
 24-34,0,0,1.64,0,0,0,0,0,0,0,11.49,0.82,1.64,0,0.82,0,0.82
 36-46,0,0,0,0.81,0,0,0,0,0,0,5.64,0,0,0,0,0,0
 48-58,0,0,0,0.57,0,0.57,0,0,0,0,0,0.57,1.15,0,0,0,0
 60-70,0,0,0,0,0,1.96,0.98,0.98,0,0,1.96,0,0.98,0,0,0,0
 72-82,0,0,0,0,0,0,0,0,0,0,0,0,0.98,0,0,0,0
 96-106,0,0,0,0,0,1.09,0,0,0,1.09,1.09,0,0,0,0,0,0
108-118,0,0,0,1.53,0,0,0,0,0,0,0,0,0,0,0,0,0
