stage,axial,blastomeres,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,ionocyte,lateral.line,liver,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,somites,spinal.cord,vascular.smooth.muscle,vasculature
  3-4,0,355.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,190.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0
  7-9,7.89,2.63,0,0,5.26,0,0,0,0,0,0,0,0,0,0,60.46,5.26,0,0,13.14,0,0,0,0,0,0
 10-12,0,3.15,0,0,9.44,0,0,0,0,0,0,0,0,0,0,25.18,0,0,0,12.59,0,0,0,0,0,0
 14-21,0,0,2,0,1,0,0,0,0,0,0,0,0,0,3,12,0,0,0,0,1,3,0,11,0,0
 24-34,0,0,1.64,0.82,0.82,0,0,0,0,0,0,0,0.82,3.28,0,20.52,0,0.82,0,0,0,0,0.82,5.75,0,1.64
 36-46,0,0,0,0,4.03,0,0,0,0,0,0,0,0,0.81,0.81,21.75,0,0,0,0,1.61,0,0,4.03,0,0
 48-58,0,0,1.15,0,6.31,0.57,0,0,1.15,0.57,0.57,0,0,0.57,1.15,11.48,0,0,0,0,1.15,0,0,1.15,0,0
 60-70,0,0,0,0,5.89,0,0,0.98,0.98,0,0,0,0,0.98,0,9.82,0,0,0,0,0.98,0,0,2.94,0,0
 72-82,0,0,0.98,0.98,6.87,0,0,0,2.94,0,0,0,0,1.96,0,7.85,0,0,0,0,0,0,0,0.98,0,0
 84-94,0,0,1.06,0,4.25,0,1.06,0,0,0,0,0,1.06,1.06,0,4.25,1.06,0,0,0,1.06,0,0,0,0,0
 96-106,0,0,2.19,0,3.28,1.09,0,0,0,0,0,1.09,0,0,1.09,4.37,1.09,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,2.3,0,0,0,3.06,0,0,0.77,0,3.83,0,6.13,0,0,0,0,0,0,0,0,1.53,0
120,0,0,1.96,5.88,7.84,0,1.96,0,5.88,0,0,0,0,3.92,0,9.8,0,0,1.96,0,0,0,0,0,0,0
