stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,glial,hatching.gland,lateral.line,liver,mesenchyme,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,spinal.cord,vasculature
  3-4,131.78,1739.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.71,0,0,0,0,0
  5-6,85.81,1091.08,0,6.13,0,0,0,0,0,12.26,0,0,0,24.52,6.13,0,0,12.26,24.52,0,0,0,0,0
  7-9,5.26,7.89,0,7.89,0,0,18.4,0,0,7.89,0,0,0,207.67,10.51,0,0,92,0,5.26,0,0,0,0
 10-12,0,9.44,0,6.29,0,0,22.03,0,0,0,0,0,0,122.73,6.29,0,0,69.23,0,3.15,0,6.29,0,0
 14-21,0,0,0,2,4,2,4,0,0,0,0,1,0,21,0,0,2,0,2,0,2,0,4,0
 24-34,0,0,0,1.64,1.64,0.82,2.46,0,0,0,0.82,0.82,0,4.1,0.82,1.64,0,0,0.82,0,0,0,1.64,0.82
 36-46,0,0,0.81,0,0,0,0.81,0,0,0,0,0,0,2.42,0,0.81,0.81,0,0,0,0,0,0.81,0
 48-58,0,0,0,0,0,0,0.57,0,0,0,0,0,0.57,1.72,0,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,0,0,0,0,0,0,3.93,0,0,0.98,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,1.96,0,0,0,0,0,0,0.98,0,0,0,0,0,0,0,0,1.96,0
 84-94,0,0,0,0,1.06,0,1.06,0,1.06,0,0,0,0,2.12,0,0,0,0,0,0,0,0,1.06,0
 96-106,0,0,0,0,0,0,0,0,1.09,0,0,0,1.09,3.28,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0,0,0.77,0.77,0,0.77,0,0.77,0,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,1.96,0,0,0,0,0,0,0,0,1.96,0,0,0,0,0,0,0,0,0,0
