stage,epidermis,eye,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,pericytes,periderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
 14-21,1,1,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,1,0,0,1,0,0,0
 24-34,0.82,0.82,0,0,0,0,0,0,0,0.82,0,0,0.82,6.57,0,0,0,1.64,0,0.82,0,0,1.64,0
 36-46,0,0,0,0,0,0,0,0,0,2.42,0,0,0,8.06,0.81,0,0,0,0,0,2.42,0,0,0
 48-58,0,1.15,0,0,0,0,0,0,0,3.44,0,0,0,4.02,0,0,0,0,0,0,1.15,0,0,0
 60-70,0,1.96,1.96,0,0,0.98,0,0,0,5.89,0.98,0,0.98,23.56,0,0,0,0,0,0,0.98,0,0,0
 72-82,0.98,1.96,1.96,0,0,0,0,0,0,11.78,0,0,3.93,4.91,0.98,0.98,0,0,0,0,2.94,0,1.96,0
 84-94,1.06,0,0,0,1.06,0,0,0,1.06,6.37,0,0,0,4.25,0,0,0,1.06,0,0,1.06,0,0,1.06
 96-106,1.09,1.09,1.09,1.09,0,0,0,0,0,6.56,0,0,1.09,3.28,1.09,1.09,1.09,2.19,0,0,1.09,0,1.09,1.09
108-118,0,3.83,3.06,0,0,0.77,0.77,0.77,0,6.13,0,0.77,1.53,4.6,1.53,0,0,1.53,0.77,0,0,0.77,0,0
120,0,0,0,0,0,0,0,0,1.96,1.96,0,0,3.92,3.92,0,0,0,0,0,0,0,0,0,0
