stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  3-4,79.07,975.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,288.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,12.26,0,6.13,0,0,0,0,0,0,0,0
  7-9,34.17,10.51,0,13.14,0,2.63,0,28.92,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,339.1,44.69,0,0,149.84,0,0,2.63,0,0,0,0,0,0,0
 10-12,0,12.59,0,15.73,0,0,0,62.94,0,0,0,0,0,22.03,0,0,0,0,0,0,0,0,0,0,0,421.69,3.15,0,0,182.52,0,3.15,9.44,0,22.03,0,0,0,0,0
 14-21,0,0,0,0,34,1,0,17,0,0,0,6,1,1,0,0,3,0,0,0,0,16,0,0,16,177,4,1,0,3,0,13,0,18,1,15,74,1,0,0
 24-34,0,0,0.82,1.64,14.78,0.82,0,42.68,0,0,1.64,10.67,0,0,0.82,0,1.64,1.64,0.82,0.82,0.82,73.88,0.82,0,27.91,499.08,0.82,4.93,2.46,0,0,7.39,0,0,0.82,6.57,104.25,7.39,0,1.64
 36-46,0,0,0,0,2.42,0,0,81.37,0,2.42,0,13.7,0,0.81,0,0,0.81,0,0.81,0,0,81.37,0,0,15.31,371.41,1.61,1.61,0,0,0,4.03,0,0,0.81,0,90.23,2.42,0,0
 48-58,0,0,0,0,4.59,0,0,101.56,0,0.57,1.15,14.92,0,0,1.15,1.15,0,1.15,0,0.57,0,92.96,0,0.57,9.75,286.33,0,1.15,1.15,0,0,1.72,0,0,0.57,0,48.77,4.59,0,0.57
 60-70,0,0,0,0,8.83,0,0,97.17,0,0,0.98,10.8,0.98,0,0,0.98,0.98,0.98,1.96,0,0,89.32,0,4.91,7.85,244.4,0.98,2.94,1.96,0,0,1.96,0,0,0.98,0,19.63,1.96,0,0.98
 72-82,0,0,1.96,0,6.87,0,0,56.94,0,0.98,0.98,17.67,1.96,0,1.96,4.91,0,0,0.98,0,0,106.02,0,2.94,15.71,186.52,0,2.94,1.96,0,1.96,0,0,0,0.98,0,9.82,5.89,0,0
 84-94,0,0,0,0,6.37,1.06,0,56.29,1.06,1.06,1.06,12.74,2.12,0,0,4.25,3.19,1.06,1.06,0,1.06,87.09,0,4.25,5.31,96.65,1.06,1.06,5.31,0,0,1.06,0,0,1.06,0,3.19,6.37,1.06,0
 96-106,0,0,0,0,7.65,1.09,2.19,27.32,0,0,0,9.84,4.37,0,1.09,2.19,0,0,1.09,0,0,88.52,1.09,5.46,8.74,96.17,0,3.28,6.56,0,1.09,3.28,0,0,0,0,3.28,4.37,0,0
108-118,0,0,0,0,9.96,1.53,0,31.4,0.77,1.53,1.53,8.43,4.6,0,0.77,3.06,0,0.77,3.06,0,0.77,72.77,0,1.53,13.02,115.66,0,3.06,1.53,0,0.77,3.06,0,0,2.3,0,1.53,2.3,0,0
120,0,0,0,0,7.84,0,1.96,39.2,0,3.92,1.96,15.68,0,0,0,1.96,0,0,3.92,0,0,60.75,0,0,13.72,109.75,0,3.92,1.96,0,0,0,0,0,0,0,3.92,9.8,0,0
