stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,glial,gut,hatching.gland,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,visceral.smooth.muscle
  3-4,39.53,289.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0
  5-6,18.39,1183.02,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,134.85,6.13,0,0,55.17,85.81,0,0,0,0,0,0
  7-9,15.77,44.69,60.46,0,0,49.95,0,0,0,10.51,0,0,0,0,0,0,0,1154.01,21.03,0,0,499.46,15.77,0,0,0,0,0,0
 10-12,0,15.73,15.73,0,3.15,47.2,0,0,0,3.15,0,0,0,0,0,0,0,1101.44,18.88,0,0,302.11,9.44,3.15,31.47,0,3.15,0,0
 14-21,0,0,2,322,17,45,0,0,1,1,3,0,0,0,1,16,24,1783,3,1,15,31,174,133,2,23,208,301,0
 24-34,0,0,0,2.46,0,3.28,0,3.28,0,0,0,0,0.82,0,0,1.64,2.46,162.53,0.82,1.64,0,0,27.09,0,0,0.82,1.64,17.24,0
 36-46,0,0,0,1.61,0,3.22,0,0.81,0,0,0,0,0,0,0,1.61,0,22.56,0,0.81,0,0,4.83,0,0,0,0,5.64,0
 48-58,0,0,0,0,0,2.3,0,3.44,0,0,0,0,0,0.57,0,2.87,0,32.13,0,1.15,0,0,0.57,0,0,0,0,10.9,0
 60-70,0,0,0,0,0,2.94,0,4.91,0,0,0.98,0,0,0,0,8.83,0,19.63,0,0,0,0,1.96,0,0,0,0,3.93,0
 72-82,0,0,0,0,0,5.89,0,16.69,0,0,0,0,0.98,0,0,20.61,0,19.63,0,0,0,0,2.94,0,0,0,0,1.96,0
 84-94,0,0,0,0,0,6.37,1.06,23.36,0,0,0,0,0,0,0,10.62,0,6.37,0,0,0,0,8.5,0,0,0,0,4.25,0
 96-106,0,0,0,0,0,3.28,0,2.19,0,0,0,0,0,0,0,2.19,0,2.19,0,0,0,0,8.74,0,0,0,0,0,1.09
108-118,0,0,0,0,0,0,0,0,0,0,0,0.77,0,0,0,0.77,0,6.89,0,0,0,0,3.06,0,0,0,0,0,0
120,0,0,0,0,0,1.96,0,1.96,0,0,0,0,0,0,0,1.96,0,0,0,0,0,0,1.96,0,0,0,0,0,0
