stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,0,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,67,0,1,0,0,0,1,2,0,0,15,0,0,0,0,0
 24-34,0,0,0.82,7.39,0,0,15.6,0,0.82,0,0.82,0,0.82,0,0.82,0,0,0,0,1.64,0,0,2.46,494.98,0,27.09,0,0,0,0.82,0,0.82,0,104.25,0,0,0.82,0,0
 36-46,0,0,0.81,3.22,0,0,179.66,0,0,0,2.42,0,0,1.61,0,0,0,0,0.81,4.03,0,0,2.42,1254.43,0,27.39,0,0,0,2.42,0,0,0.81,246.53,0,0,2.42,0,0
 48-58,0,0,1.15,8.61,0,0,1218.76,0.57,1.15,1.72,28.69,0,0.57,1.72,0.57,1.72,0.57,0,1.15,40.74,0.57,2.3,5.16,2081.76,0.57,19.51,0.57,0,0,5.16,0,0,0.57,425.19,0,0,4.59,0,7.46
 60-70,0,0,0.98,16.69,3.93,0,3911.36,0,2.94,1.96,47.11,0,1.96,5.89,0,0.98,0.98,0.98,1.96,68.71,0,1.96,6.87,3907.44,0.98,18.65,0,0,0.98,11.78,0,0.98,0.98,652.71,0,2.94,6.87,0,5.89
 72-82,0,0,3.93,94.24,25.52,0,5543.44,2.94,10.8,14.72,213.02,6.87,4.91,7.85,4.91,3.93,1.96,5.89,1.96,203.2,1.96,8.83,14.72,4529.39,1.96,35.34,12.76,0,2.94,27.49,0,1.96,0.98,520.28,4.91,6.87,17.67,8.83,15.71
 84-94,0,0,4.25,135.94,10.62,0,4069.73,5.31,10.62,8.5,190.1,9.56,1.06,8.5,5.31,9.56,0,3.19,3.19,157.18,2.12,14.87,8.5,2612.61,4.25,27.61,10.62,0,1.06,32.92,0,2.12,2.12,311.18,1.06,11.68,15.93,7.43,7.43
 96-106,0,0,1.09,159.56,31.69,2.19,3855.56,6.56,26.23,4.37,202.18,15.3,3.28,18.58,5.46,9.84,4.37,10.93,3.28,166.11,5.46,4.37,14.21,2323.39,6.56,30.6,10.93,0,3.28,64.48,0,2.19,1.09,151.91,12.02,8.74,18.58,13.11,21.86
108-118,0.77,0,0,55.92,16.09,3.06,2985.72,6.13,7.66,5.36,134.04,7.66,2.3,10.72,3.83,4.6,3.06,9.96,0.77,106.47,1.53,3.06,16.85,3148.87,3.83,29.87,8.43,0,2.3,29.87,0,2.3,0,118.72,4.6,3.83,12.26,6.13,3.83
120,0,0,1.96,58.79,17.64,0,2377.22,3.92,5.88,3.92,180.3,9.8,3.92,5.88,3.92,1.96,5.88,7.84,1.96,101.91,3.92,5.88,13.72,3153.3,5.88,27.44,5.88,0,1.96,17.64,0,3.92,0,109.75,3.92,1.96,17.64,3.92,7.84
