stage,blastomeres,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,olfactory,otic,pericytes,periderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,1.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 36-46,0,0,0,1.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.81,0,0,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,16.07,0,0,0,0,0,0,0,0,0,0,0,0,1.15,1.15,0,1.15,0,0,0,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,167.84,0,0,0,0,0,0,0,0,0,0,0,0,1.96,0,0,2.94,0,0,0,0.98,0,0,0.98,0,0,0,0,0.98
 72-82,0,11.78,0.98,833.43,0,0,2.94,6.87,0,0,0,0,0.98,0,0,0.98,22.58,0,0.98,42.21,0,1.96,0,1.96,0,0,2.94,0.98,0,0.98,0.98,0.98
 84-94,0,10.62,3.19,863.44,0,0,0,1.06,0,1.06,0,1.06,1.06,0,0,0,8.5,0,1.06,19.12,1.06,0,1.06,2.12,0,0,1.06,0,0,3.19,0,2.12
 96-106,0,17.49,8.74,848.05,3.28,2.19,1.09,4.37,1.09,1.09,1.09,0,1.09,1.09,3.28,0,16.39,0,3.28,45.9,0,1.09,0,6.56,0,1.09,3.28,0,1.09,6.56,0,2.19
108-118,0,3.83,0.77,608.17,0,0.77,0.77,8.43,0,0,1.53,2.3,0,0,1.53,0,14.55,1.53,1.53,57.45,0.77,0,0.77,3.83,0.77,0,1.53,0,0,0.77,0,0
120,0,13.72,3.92,799.59,0,3.92,1.96,1.96,0,0,0,0,0,0,0,0,19.6,0,5.88,47.03,3.92,0,0,1.96,1.96,0,0,0,0,1.96,1.96,1.96
