stage,axial,blastomeres,eye,glial,mesenchyme,neural,notochord,otic,periderm,pgc,spinal_cord
  3-4,0,13.18,0,0,0,0,0,0,0,0,0
  5-6,0,12.26,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,2.63,0,0,10.51,2.63,0,0,2.63,0
 10-12,0,0,3.15,0,0,12.59,0,0,0,3.15,0
 14-21,0,0,0,0,0,0,0,0,0,0,1
 24-34,0,0,0,0,0,4.93,0,0,0,0,0
 36-46,0,0,0,0,0,0.81,0,0,0,0,0.81
 48-58,0,0,0,0,0.57,2.3,0,0,0,0,0.57
 60-70,0,0,2.94,0,0,0,0,0,0,0,0
 72-82,0,0,0,0.98,0,0,0,0,0,0,0
 84-94,0,0,0,0,1.06,1.06,0,0,2.12,0,0
108-118,0,0,0.77,0,0,0.77,0,0.77,0,0,0.77
