stage,axial,blastomeres,epidermis,erythrocytes,eye,glial,lateral.line,mesenchyme,neural,notochord,otic,paraxial.mesoderm,pericytes,pronephros,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
  3-4,13.18,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,2.63,0,0,2.63,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,9.44,0,0,6.29,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,4.1,0,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,24.17,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,0.57,1.15,16.07,0.57,0.57,0,0,0,1.15,0,0.57,0
 60-70,0,0,0,0,0.98,0.98,1.96,0,11.78,0,0,0,0,0.98,0,0,0,0
 72-82,0,0,0.98,0,0,0,0,0.98,18.65,0,0,0,0,0,0,0,0,0.98
 84-94,0,0,0,1.06,1.06,0,0,0,7.43,0,1.06,0,0,0,1.06,1.06,1.06,0
 96-106,0,0,0,0,2.19,3.28,0,2.19,10.93,0,2.19,0,0,0,0,0,0,0
108-118,0,0,0,0,0.77,2.3,0,1.53,5.36,0,0.77,0,0,0,0.77,0,0,0
120,0,0,0,0,1.96,3.92,0,5.88,23.52,0,0,0,1.96,0,0,0,0,0
