stage,axial,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,42,0,0,0,1,0,0,0,1,1,28,0,0,1,0,0
 24-34,0,0,0,0.82,0,0,9.03,0,0,0,2.46,1.64,0,0,0,0,0,1.64,0,4.93,176.48,0,0.82,0.82,0,0,0,0,0.82,3.28,68.13,0,0,6.57,0,0
 36-46,0,0,0,0.81,0,0,29,0.81,0,0,4.03,0,0,0,0,0,0.81,4.83,0,1.61,287.62,0.81,1.61,0,0,0,0.81,0,0,0,80.57,0,0,1.61,0,0
 48-58,0,0,0,0.57,0,0,98.12,0,0,0.57,9.18,0.57,0,0,1.15,0,0,9.75,0,2.87,309.28,0,2.87,0.57,0,0,0,0,0,0,69.43,0,0,1.15,0,1.72
 60-70,0,0,0,0.98,0,0,265.99,0,0,0.98,10.8,0,0,0,0,0,0,12.76,0.98,0.98,376.9,0,0,1.96,0,0,0,0,0,0,42.21,0,0,0.98,0,0.98
 72-82,0,0.98,0,0.98,0,0,223.82,0,0.98,0.98,19.63,0,0,0,0.98,0,0,25.52,0.98,2.94,359.29,0,0.98,0,0,0,0,0,0,0,27.49,0.98,0,5.89,0.98,0.98
 84-94,0,0,0,4.25,1.06,0,159.31,0,0,1.06,22.3,0,1.06,0,2.12,1.06,1.06,19.12,1.06,4.25,198.6,0,0,3.19,0,0,0,0,0,0,25.49,0,1.06,3.19,0,0
 96-106,0,0,0,0,0,0,113.66,0,0,0,18.58,0,0,0,3.28,1.09,0,13.11,2.19,0,154.09,0,1.09,2.19,0,0,2.19,0,0,0,4.37,1.09,1.09,6.56,0,0
108-118,0,0,0,3.06,0,0.77,65.87,0,0,0.77,14.55,0,0,0,4.6,0,0,14.55,0.77,2.3,170.04,0,0.77,0.77,0,0.77,0,0.77,0,0,2.3,0,0,6.89,0.77,4.6
120,1.96,0,0,0,0,1.96,62.71,1.96,0,3.92,7.84,0,0,1.96,3.92,0,0,5.88,0,0,180.3,0,0,0,0,0,1.96,0,1.96,0,1.96,0,0,5.88,1.96,0
