stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,566.65,12505.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,474.41,0,0,0,0,0,0,0,0,0,0,0
  5-6,1146.24,12234.75,24.52,0,0,0,0,0,0,0,0,0,61.3,0,0,0,0,0,0,0,0,0,0,0,465.85,55.17,0,0,165.5,0,183.89,0,0,0,0,0,0,0,0,0,0,0
  7-9,170.87,199.78,457.4,0,0,0,544.14,0,0,0,0,0,241.84,0,0,0,0,0,0,0,0,0,0,0,5956.66,194.52,0,0,2860.04,0,18.4,18.4,0,0,0,0,0,0,0,0,0,0
 10-12,3.15,129.03,261.2,0,37.76,0,434.28,0,0,0,0,0,56.65,0,0,0,0,0,3.15,0,0,0,0,0,3672.51,44.06,0,0,1957.41,0,15.73,25.18,6.29,182.52,0,9.44,15.73,0,0,0,0,0
 14-21,0,0,26,372,94,0,181,0,0,0,35,6,1,3,3,2,0,1,0,0,162,0,0,148,2216,36,18,31,116,0,40,0,354,21,1,213,724,0,0,8,0,0
 24-34,0.82,0.82,6.57,439.16,50.07,0,604.97,0,12.31,1.64,70.59,3.28,0.82,4.1,11.49,4.1,4.93,6.57,7.39,0,417.82,6.57,3.28,180.59,3643.78,37.76,36.12,43.51,0,0,151.04,0,4.93,9.85,0.82,30.37,921,0,0,64.85,0,4.93
 36-46,0,0,0.81,327.1,38.67,0,1253.62,0.81,30.62,0.81,60.43,3.22,0,3.22,15.31,0.81,5.64,3.22,7.25,0.81,334.35,8.06,9.67,128.91,2441.98,9.67,17.72,16.92,0,0,49.15,0,2.42,3.22,0,0,607.47,0,0,21.75,0,9.67
 48-58,0.57,0,0.57,306.99,55.09,0,1498.78,0.57,52.22,3.44,70.58,6.89,0,3.44,13.77,1.15,7.46,5.74,2.3,0.57,377.56,3.44,16.07,66.56,1186.05,8.03,10.33,13.2,0,0,28.69,0,0.57,1.15,1.72,0,215.18,0,0,25.25,0,5.16
 60-70,0,0,0,264.03,3.93,0,992.32,0,47.11,2.94,75.58,8.83,0,2.94,8.83,0,5.89,5.89,4.91,0.98,244.4,6.87,19.63,45.15,579.1,7.85,0.98,8.83,0,0.98,13.74,0,0,2.94,0,0,40.24,0.98,0,18.65,0,2.94
 72-82,0,0,0,311.19,3.93,0.98,361.25,0.98,50.06,1.96,80.5,14.72,0,3.93,12.76,1.96,6.87,0.98,2.94,0,222.84,4.91,9.82,38.28,380.88,0.98,7.85,9.82,0,0,12.76,0,0,0.98,0,0,11.78,2.94,0.98,19.63,0,0.98
 84-94,0,0,1.06,573.5,16.99,3.19,356.84,0,99.83,2.12,39.3,32.92,0,2.12,21.24,2.12,7.43,2.12,5.31,0,166.74,6.37,24.43,31.86,284.63,7.43,6.37,8.5,0,0,13.81,0,0,1.06,0,0,10.62,6.37,1.06,32.92,3.19,1.06
 96-106,0,0,0,512.55,17.49,1.09,214.2,0,83.06,0,61.2,19.67,0,6.56,29.51,2.19,5.46,3.28,4.37,0,91.8,9.84,10.93,27.32,260.1,5.46,13.11,10.93,0,0,14.21,0,0,4.37,0,0,5.46,3.28,1.09,31.69,3.28,0
108-118,0,0,0.77,418.98,24.51,0,188.43,0,112.6,1.53,43.66,17.62,0,0.77,21.45,1.53,4.6,1.53,0,0.77,67.4,3.06,6.89,22.21,301.79,5.36,9.19,7.66,0,0.77,6.89,0,0,3.83,0,0,3.83,2.3,0,17.62,0,0
120,0,0,0,229.29,11.76,0,172.46,0,48.99,0,31.36,3.92,0,1.96,19.6,1.96,0,1.96,3.92,0,60.75,0,3.92,17.64,250.85,1.96,0,5.88,0,0,11.76,0,0,0,0,0,5.88,3.92,0,15.68,0,0
