stage,blastomeres,eye,glial,iridophores,melanocytes,mesenchyme,muscle,neural,periderm,spinal_cord
  3-4,0,0,0,0,0,0,0,0,13.18,0
  5-6,6.13,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,2.63,0,0
 10-12,0,0,0,0,0,0,0,3.15,0,0
 14-21,0,0,0,0,0,0,0,3,0,1
 24-34,0,0,0,0,0,0,0.82,2.46,0,0.82
 36-46,0,0.81,0,0,0.81,0,0,0.81,0,0
 48-58,0,0,0,0,0,0,0,1.72,0,0
 60-70,0,0,0,0,0,0.98,0,0,0,0
 72-82,0,0,0,0.98,0,0,0,0,0,0
 84-94,0,0,0,4.25,0,0,0,0,0,0
 96-106,0,0,0,2.19,0,0,0,0,0,0
108-118,0,1.53,0,8.43,0,0.77,0,0.77,0,0.77
120,0,0,1.96,1.96,0,0,0,0,0,0
