stage,epidermis,fin.epithelia,gut,lateral.line,liver,mesenchyme,mucous,neural,olfactory,otic,periderm,pronephros,spinal.cord,taste
 14-21,1,0,0,0,0,0,0,0,0,0,1,0,0,0
 24-34,0.82,0.82,0,0.82,0,0,0,0.82,0.82,2.46,4.1,1.64,0,0
 36-46,0,0,0,0,0,0,0,1.61,0,0,6.45,0.81,0,0
 48-58,2.87,0.57,0,0,0,0,0,0,0,1.15,1.15,0,0.57,0
 60-70,0,0,0,0,0,0.98,0,0.98,0,0.98,1.96,0,0,0
 72-82,1.96,0,0.98,0,0,0,0,0,0,0,0,0.98,0,0
 84-94,1.06,0,1.06,2.12,0,0,0,0,0,0,8.5,0,0,1.06
 96-106,3.28,0,1.09,0,0,0,0,0,0,2.19,2.19,0,0,2.19
108-118,0.77,0,0,0,0,0,0.77,0,0,0.77,2.3,0,0,1.53
120,5.88,3.92,0,0,1.96,0,0,0,0,0,1.96,0,0,0
