stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,0,3.15,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,34,0,1,0,1,1,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0.82,0,0,0,0,0,0,0,0.82,0,0,10.67,0,0,0,45.97,0,0,0,0,2.46,0,0,0,0
 36-46,0,0,0,0,0,1.61,0,0,0,0,0,0,0,0,0,0,0,0.81,0,0,6.45,0,0,0,37.87,0,0,0,0,0.81,0,0,0,0
 48-58,0,0,0.57,0,0,2.3,0,0,0,0,0,0,0,0,0.57,0,0.57,1.15,0.57,0,16.07,0,0.57,0,51.64,0,0,0,0,2.87,0,0,0,0
 60-70,0,0,2.94,0,0,3.93,0.98,1.96,0,0,0,0.98,0,0,0,0,0,4.91,0.98,0,15.7,0,0.98,0,143.3,0,0,0,0,0.98,0,0,0,0.98
 72-82,0,0,6.87,0,0,9.82,0,0,0,1.96,0.98,0,0,4.91,0,0,0,3.93,0.98,0,9.82,0,0,0.98,149.21,0,0,0,0,1.96,0,0,0,0
 84-94,0,0,13.81,0,0,7.43,0,6.37,1.06,1.06,0,0,4.25,3.19,0,0,0,4.25,5.31,0,7.43,0,0,0,437.56,0,0,0,0,0,0,0,0,0
 96-106,0,0,26.23,0,0,5.46,0,5.46,0,0,1.09,0,2.19,3.28,0,1.09,0,1.09,0,0,13.11,1.09,0,0,315.83,0,0,0,0,0,1.09,0,1.09,0
108-118,0,0,26.04,0.77,1.53,4.6,0,2.3,0,0.77,1.53,0,1.53,4.6,0,1.53,0,3.83,2.3,0.77,7.66,0,0,0,277.28,0,0,0,0,0.77,0.77,0.77,0,0
120,0,0,25.48,1.96,0,1.96,0,3.92,1.96,0,1.96,0,5.88,0,1.96,0,0,1.96,1.96,0,11.76,0,0,0,188.14,0,0,1.96,0,0,0,0,0,0
