stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,16,1,0,0,0,1,3,1,0,2,8,0,0,0,0,0
 24-34,0,0,18.88,0,0,2.46,0,4.1,1.64,0,0,0,0,0,0,0,0,5.75,0,0,4.93,31.19,0.82,0.82,0,2.46,0.82,0,0,0.82,0.82,10.67,0,0,0.82,0,0.82
 36-46,0,0,12.09,0.81,0,4.03,0,0.81,0.81,4.03,0,0,0.81,0.81,0.81,0,0.81,7.25,0,0.81,1.61,41.09,0,0,0,3.22,0,0,0,0,0,6.45,0,0,0,0,0.81
 48-58,0,0,13.77,0,0,7.46,1.15,1.15,1.72,2.87,0,0,0,0,0.57,0,0,5.16,0.57,0,0.57,32.71,0,0.57,0,1.15,0,0,0,0.57,0,7.46,0,0,0.57,0,0
 60-70,0,0.98,17.67,0.98,0,10.8,0.98,3.93,0,1.96,1.96,0,0.98,0,0,0.98,0,10.8,0,0,2.94,25.52,2.94,0,0.98,2.94,0,0,0,0.98,0,0.98,0,0,0.98,0,0
 72-82,0,0,9.82,0.98,0,31.41,0.98,2.94,0.98,6.87,0,0,0.98,0,0,0,0,18.65,0,0,0.98,69.7,0,1.96,1.96,0,0.98,0,0,0,0,5.89,0.98,0.98,0.98,0.98,0
 84-94,0,0,8.5,2.12,0,15.93,0,6.37,1.06,6.37,2.12,2.12,3.19,1.06,1.06,1.06,0,14.87,3.19,2.12,0,20.18,0,0,0,1.06,0,0,0,0,0,3.19,0,0,2.12,2.12,0
 96-106,1.09,0,10.93,1.09,0,17.49,0,1.09,1.09,9.84,0,0,2.19,1.09,0,0,0,13.11,0,1.09,2.19,26.23,0,1.09,2.19,2.19,0,0,0,0,0,0,1.09,2.19,0,0,0
108-118,0,0,10.72,0,9.19,8.43,0,4.6,0.77,4.6,0.77,0,2.3,7.66,0.77,0.77,0.77,9.19,0,0,1.53,25.28,0,1.53,3.06,1.53,1.53,0,0,0.77,0,3.83,0,0,1.53,0,0
120,0,0,31.36,0,0,9.8,0,9.8,0,3.92,1.96,0,1.96,0,0,0,0,9.8,0,1.96,0,45.08,0,1.96,3.92,1.96,1.96,0,0,0,0,0,0,0,0,0,0
