stage,blastomeres,epidermis,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,iridophores,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,6.13,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
 24-34,0,0,0.82,0.82,0,0,0,0,0.82,0,0,0.82,0,0.82,9.85,0,0,0,0,0.82,0.82,2.46,0,0,0,132.98
 36-46,0,0,4.03,0,0,0.81,0,0,0,0,3.22,0.81,0,0,12.89,0,0,0,0,1.61,0.81,1.61,0,0,0,189.33
 48-58,0,0,5.74,0,0,0,0,0,2.87,0.57,1.72,3.44,0,0,17.79,0,0.57,0,0,0.57,0,3.44,0,1.15,0,228.37
 60-70,0,0.98,2.94,0,0.98,0,0,0,0.98,0,0,1.96,0,0.98,6.87,0,0,0,0,0,0,0,0,0,0,210.05
 72-82,0,0,14.72,0,0,1.96,0,0,1.96,0,0,5.89,0,0,11.78,0,0,0,0,0,0,2.94,0,0.98,0,185.53
 84-94,0,1.06,16.99,0,0,1.06,0,0,7.43,0,1.06,3.19,1.06,0,7.43,0,0,0,0,0,0,1.06,0,0,0,132.75
 96-106,0,1.09,21.86,0,0,3.28,2.19,0,0,2.19,0,4.37,0,1.09,19.67,0,0,0,0,1.09,0,0,0,0,1.09,169.39
108-118,0,0,6.89,0,0,1.53,0,0.77,2.3,1.53,0,3.06,0,0,11.49,0.77,0,0.77,0.77,0.77,0,1.53,0.77,0.77,0,195.32
120,0,0,7.84,0,0,1.96,0,0,0,0,0,1.96,0,0,7.84,0,0,0,0,1.96,0,0,0,0,0,80.35
