stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,92.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,10.51,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.73,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0,0,0,0,1,4,0,0,0,0
 24-34,0,0,0.82,0,1.64,0,1.64,0,0,0,0,0,0,0,0,0,0,0,2.46,0,0,0.82,56.64,0,0.82,0,0,0,0.82,0,0,12.31,0,0.82,0,0
 36-46,0,0,0,0,0,0,4.83,0,0.81,0,0,0,0,0,0,0,0,0,0.81,0,0,0,95.07,0,0.81,0,0,0,0,0,0,23.36,0,0,0,0
 48-58,0,0,0,0,0,0,17.79,0,0.57,3.44,0,0,0,0,0.57,0,0,0,3.44,0,0,0,147.47,0.57,1.15,0,0,0,0,0.57,0,25.82,0,0,0,0
 60-70,0,0,0,0,1.96,0,41.22,0,0,12.76,0,0,0,0,0,0,0,0,6.87,0,0,0,248.33,0,0.98,0,0,0.98,0,0.98,0,41.22,0.98,0,0.98,0
 72-82,0,0,0,0,3.93,0,115.84,0,0.98,21.6,0.98,0,0,0,0,0,0,0,16.69,0,0,0,430.95,0,2.94,0.98,0,0,0.98,0,0,40.25,0.98,1.96,0,1.96
 84-94,0,0,0,0,3.19,2.12,75.4,0,1.06,16.99,0,1.06,1.06,0,3.19,0,0,1.06,13.81,0,2.12,1.06,200.73,0,1.06,2.12,0,0,3.19,0,0,20.18,0,0,1.06,0
 96-106,0,0,1.09,0,3.28,1.09,78.68,0,1.09,37.16,2.19,1.09,3.28,1.09,0,1.09,0,0,18.58,0,0,2.19,216.38,0,3.28,4.37,0,0,5.46,0,0,15.3,0,5.46,1.09,0
108-118,0,0,0.77,0,3.83,3.06,77.36,0.77,0,29.87,0.77,0,3.83,0,4.6,0.77,0.77,0,19.92,0.77,0,0.77,259.66,0.77,2.3,0.77,0,0.77,4.6,0,0,9.96,0,5.36,0,3.83
120,0,0,0,0,7.84,1.96,70.55,0,3.92,35.28,5.88,0,3.92,0,0,0,1.96,0,13.72,0,0,0,333.16,0,1.96,5.88,0,1.96,15.68,0,0,17.64,0,1.96,3.92,1.96
