stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.77,2.63,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.32,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,7,6,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,4,52,0,0,0,0,0,6,3,0,0,3,18,0,0,0,0,0
 24-34,0,1.64,0,8.21,2.46,0,14.78,0,3.28,1.64,0.82,0,0,1.64,0.82,2.46,0,0,0,3.28,7.39,0.82,0,4.93,128.05,3.28,11.49,0,0,0,41.04,0.82,1.64,0,1.64,35.3,0,0,7.39,0,0.82
 36-46,0,0.81,0,4.03,0.81,0,30.62,0,1.61,0.81,8.86,0.81,0.81,0.81,0.81,0,0,0.81,0.81,12.89,17.72,0,0.81,1.61,259.43,2.42,12.89,0.81,0,0,55.59,0.81,0,0.81,0,74.12,0,0,7.25,0,0.81
 48-58,0,0.57,0,5.74,1.15,0,61.97,2.3,3.44,0.57,17.79,0.57,1.72,2.87,0,1.15,0,1.15,0,8.03,33.85,1.15,0,5.16,248.46,1.15,9.18,0.57,0,0.57,31.56,0.57,0,0,0,61.4,0,0,12.62,0,1.72
 60-70,0,0.98,0,17.67,0.98,0,153.12,2.94,12.76,0.98,60.85,0,3.93,1.96,0.98,0.98,1.96,0.98,0.98,6.87,76.56,0.98,1.96,9.82,546.71,4.91,13.74,1.96,0,0,64.78,0,0,0,0,95.21,0,0,7.85,0.98,10.8
 72-82,0,0.98,0,26.5,65.77,0,246.4,0.98,6.87,9.82,104.06,2.94,0.98,6.87,4.91,2.94,7.85,0.98,0,5.89,196.33,2.94,8.83,9.82,636.12,2.94,33.38,14.72,0,5.89,67.73,0.98,0,0,0,69.7,1.96,3.93,19.63,13.74,9.82
 84-94,0,4.25,0,54.16,53.1,0,179.48,2.12,29.74,10.62,66.91,6.37,6.37,4.25,3.19,5.31,13.81,1.06,1.06,8.5,128.51,3.19,4.25,6.37,354.72,0,28.68,19.12,0,1.06,258.08,0,2.12,1.06,0,36.11,6.37,8.5,19.12,11.68,8.5
 96-106,0,4.37,0,62.29,108.19,0,214.2,5.46,27.32,8.74,104.91,12.02,0,2.19,10.93,5.46,17.49,18.58,2.19,9.84,158.46,7.65,9.84,12.02,382.5,10.93,54.64,29.51,0,4.37,312.55,2.19,4.37,3.28,0,33.88,18.58,8.74,24.04,20.76,17.49
108-118,0,3.06,0.77,79.66,71.23,2.3,233.62,5.36,49.79,9.96,119.49,7.66,0,8.43,6.89,13.79,33.7,9.19,4.6,10.72,169.28,9.96,7.66,7.66,597.45,8.43,27.57,23.74,0,3.83,265.79,1.53,0.77,0,0,24.51,19.92,6.89,22.98,10.72,23.74
120,0,0,0,96.03,74.47,1.96,156.78,13.72,62.71,3.92,107.79,15.68,0,1.96,1.96,7.84,13.72,7.84,0,5.88,135.23,5.88,1.96,9.8,609.49,13.72,23.52,21.56,0,3.92,321.4,1.96,0,0,0,23.52,11.76,1.96,23.52,7.84,3.92
