stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,heart,immune,ionocyte,lateral.line,liver,mesenchyme,mucous,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,pgc,pronephros,slow.muscle,somites,spinal.cord,vasculature,xanthophores
  3-4,0,144.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,91.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,21.03,0,0,13.14,2.63,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.03,0,0,3.15,0,3.15,6.29,0,0,0,0,0
 14-21,0,0,0,2,2,1,0,1,0,0,0,0,0,0,1,0,1,13,0,0,0,1,0,0,0,1,3,0,0
 24-34,0,0,0,0.82,0,3.28,0,0,0,0,0,1.64,0,0,5.75,0,0,25.45,0.82,0,0,0.82,0,0.82,0,0.82,4.1,1.64,1.64
 36-46,0,0,0,1.61,0,4.83,0,1.61,0,0,0.81,0,0,0,1.61,0,0.81,26.59,0,0.81,0,1.61,0,0,0.81,0,1.61,0.81,0
 48-58,0,0,0,0,0,8.61,0,0.57,0,0.57,0,0,0,0,3.44,0,2.87,23.53,0,0,0,0,0,0,0,0,2.87,0,0
 60-70,0,0,0,0.98,0,12.76,0,3.93,0.98,0,0.98,0,0.98,0,4.91,0.98,0.98,19.63,0,0,0,0,0,0,0,0,0.98,0,0
 72-82,0,0,0,0.98,0,8.83,0,0,0,0,0,0,0,0.98,7.85,0,0.98,16.69,0.98,0,0,0,0,0,0,0,0.98,0,0
 84-94,0,0,1.06,2.12,0,4.25,0,1.06,0,0,0,2.12,0,0,3.19,0,1.06,7.43,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,1.09,0,0,4.37,0,0,1.09,0,0,1.09,1.09,0,3.28,0,1.09,7.65,1.09,1.09,0,5.46,0,0,0,0,0,0,0
108-118,0,0,0,0.77,0,5.36,0,3.83,0.77,0,0,0,0,0,2.3,0,0,8.43,0,0,0,0,0,0,0,0,0,0.77,0
120,0,0,0,1.96,0,1.96,1.96,3.92,0,0,0,0,0,0,1.96,0,0,7.84,0,1.96,0,0,0,0,0,0,0,0,0
