stage,axial,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,0,7,36,7,0,35,0,0,0,9,4,1,1,0,2,0,0,0,0,23,0,0,22,269,6,2,1,15,0,7,44,3,297,44,96,0,0,1,0,0
 24-34,0,1.64,7.39,22.98,1.64,0,85.37,0,1.64,2.46,9.03,2.46,0,4.93,0.82,3.28,0,0.82,0,2.46,77.16,0,0,32.83,694.44,4.93,3.28,6.57,0,0,19.7,0.82,1.64,215.89,10.67,153.5,0,0,26.27,0,2.46
 36-46,0,0,0,12.89,0,0,111.18,0,1.61,3.22,24.17,1.61,0,4.03,0,0.81,0,0.81,0,0.81,70.9,3.22,0.81,16.92,460.84,0.81,4.03,0.81,0,0.81,19.34,0,0.81,100.71,0,112.79,0,0,17.72,0,1.61
 48-58,0,0,0,5.74,0,0,129.11,0.57,0.57,2.3,38.44,0,2.3,5.74,0,1.72,1.72,0,0,0.57,68.86,1.15,2.3,14.35,281.16,0.57,4.59,2.3,0,0,11.48,0,0,23.53,0,65.99,0,1.15,11.48,0,1.15
 60-70,0.98,0,0,7.85,0,0,161.95,0,0.98,4.91,47.11,0.98,0,1.96,1.96,0.98,1.96,0.98,0,0,95.21,0,3.93,11.78,304.27,0.98,2.94,0.98,0,0.98,4.91,0,0,1.96,0,39.26,0,1.96,11.78,0,0.98
 72-82,0,1.96,0,6.87,1.96,0,106.02,0.98,0.98,4.91,43.19,1.96,0,4.91,0.98,3.93,0.98,0.98,0.98,0,65.77,0.98,1.96,9.82,183.57,0.98,2.94,3.93,0,1.96,20.61,0,0,0,0,18.65,1.96,1.96,21.6,0.98,0.98
 84-94,0,1.06,0,10.62,1.06,0,76.47,1.06,0,5.31,33.99,3.19,2.12,1.06,4.25,1.06,1.06,1.06,0,1.06,57.35,1.06,2.12,5.31,118.95,1.06,2.12,2.12,0,0,20.18,0,1.06,1.06,0,15.93,2.12,2.12,13.81,2.12,1.06
 96-106,0,4.37,0,18.58,1.09,2.19,63.39,0,2.19,1.09,30.6,5.46,0,4.37,5.46,5.46,2.19,3.28,0,2.19,56.83,0,2.19,10.93,86.33,0,9.84,9.84,0,2.19,32.79,0,0,0,0,6.56,3.28,5.46,16.39,0,0
108-118,0,0.77,0,7.66,0.77,1.53,39.83,0.77,1.53,2.3,23.74,7.66,0,0.77,3.06,0,3.83,1.53,0.77,0,51.32,1.53,4.6,9.19,101.87,0.77,5.36,3.83,0.77,1.53,16.85,0,0,0,0,2.3,3.06,1.53,8.43,1.53,0.77
120,0,0,0,19.6,1.96,0,48.99,3.92,0,0,35.28,7.84,0,3.92,13.72,0,1.96,0,5.88,0,43.12,0,1.96,15.68,125.43,0,1.96,1.96,0,0,13.72,0,0,0,0,5.88,1.96,5.88,5.88,0,1.96
