stage,axial,blastomeres,epidermis,erythrocytes,exocrine.pancreas,eye,glial,gut,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,neural,notochord,paraxial.mesoderm,periderm,pronephros,spinal.cord,vascular.smooth.muscle,vasculature
  3-4,52.71,843.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.07,0,0,0,0
  5-6,6.13,98.07,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,13.14,2.63,2.63,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,3.15,0,0,0
 14-21,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,1,0,0
 24-34,0,0,0,0,0,0,0,0.82,1.64,0,0,0,0,0,0,0.82,0,0,0,8.21,0.82,0,0.82
 36-46,0,0,0,0,0,0.81,0,0,2.42,0,0.81,0,0,0,0,1.61,0,0,0,4.83,4.03,0,0.81
 48-58,0,0,0,0,0,0.57,0.57,0,1.72,0,0,0,0.57,0,0,1.72,0,0,0,2.87,0.57,0,0
 60-70,0,0,0,0,0,0.98,0,0,0.98,0,0.98,0,0,0,1.96,3.93,0,0,0,5.89,0.98,0,0
 72-82,0,0,0.98,0.98,0,1.96,0.98,1.96,3.93,0,0,0.98,0,0,0,1.96,0,0,3.93,9.82,0,0,0.98
 84-94,0,0,0,1.06,0,1.06,0,1.06,15.93,0,0,3.19,1.06,0,0,7.43,0,0,3.19,24.43,0,1.06,1.06
 96-106,0,0,0,1.09,0,2.19,0,2.19,16.39,1.09,0,5.46,1.09,0,0,13.11,0,0,3.28,24.04,0,0,1.09
108-118,0,0,1.53,0.77,2.3,0,0,3.83,13.79,0,0,9.96,0,1.53,0,9.19,0,0,3.06,39.83,0,0,2.3
120,0,0,0,1.96,0,0,0,5.88,21.56,0,0,1.96,0,1.96,0,7.84,0,0,5.88,19.6,0,0,0
