stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  7-9,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,3.15,0,0,0,0,12.59,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,78.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,4,0,0,30,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,356,0,0,1,0,0,0,1,0,0,3,0,0,0,0
 24-34,0,0,1.64,0.82,0,507.29,0,0.82,0,31.19,0,0,0,0,0,0,0,0,0,6.57,0,0,4.1,1132.78,0.82,0,0,0,0,3.28,0,0,0.82,97.68,0,0.82,0,0
 36-46,0,0,4.83,0,0,1308.41,0,0.81,1.61,317.43,0.81,0,1.61,1.61,0,0,0,0,0.81,9.67,0.81,0.81,3.22,3088.13,0,1.61,1.61,0,0,4.83,0,0.81,0,489.85,0.81,0,0,2.42
 48-58,0,0,7.46,0.57,0,1217.04,0.57,2.3,0,522.74,0,0,1.15,0.57,0,0.57,0.57,0,0,22.95,0.57,1.15,3.44,1923.97,0,1.72,0.57,0,0.57,2.3,0,0,0,552,0,2.3,0,1.72
 60-70,0,0,4.91,0,0,816.63,0.98,0.98,0,353.35,0,0,0,0.98,0,0.98,0,0,0,15.7,0.98,0,0.98,919.69,0,0.98,0,0,0,5.89,0,0.98,0,194.34,0,0,0,1.96
 72-82,0,0.98,8.83,0.98,0,458.44,0.98,0,2.94,346.53,0,0,0,0,0.98,0.98,0,0,0,18.65,0.98,1.96,0.98,702.87,2.94,0.98,0.98,0,0,0.98,0,1.96,0,51.05,1.96,1.96,0.98,0
 84-94,0,0,7.43,1.06,0,321.8,0,0,2.12,218.78,0,0,0,1.06,0,0,0,0,0,12.74,0,2.12,1.06,392.95,1.06,1.06,0,0,0,0,0,0,0,54.16,0,2.12,0,1.06
 96-106,0,0,15.3,1.09,1.09,260.1,0,1.09,0,221.85,2.19,0,1.09,2.19,0,1.09,0,1.09,0,15.3,0,0,2.19,315.83,0,2.19,2.19,0,0,2.19,0,0,0,18.58,4.37,0,1.09,1.09
108-118,0,0,5.36,0,0,278.81,0.77,0,0,189.96,0,0,0,0.77,0,0.77,0.77,0,0,9.19,0,1.53,1.53,480.26,0.77,1.53,0.77,0,0,0,0,0,0,12.26,0,1.53,0.77,0
120,0,0,15.68,3.92,3.92,307.69,0,3.92,1.96,233.21,0,0,0,0,1.96,0,0,0,0,15.68,0,1.96,3.92,580.1,1.96,1.96,1.96,0,0,1.96,0,0,0,5.88,0,0,0,0
