stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,glial,gut,hatching_gland,immune,ionocyte,lateral_line,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,xanthophores
  3-4,13.18,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,15.77,0,0,0,10.51,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,4,55,9,0,9,0,0,2,2,0,0,0,0,3,6,45,1,0,3,5,2,17,0,0,23,8,0,0,0
 24-34,0,0,0,1.64,4.93,0.82,0,13.13,0,0,0.82,0,0,0.82,0,0,4.93,1.64,35.3,0,0.82,1.64,0,1.64,0,0,0,4.93,4.93,0,0,0
 36-46,0,0,0,0,0,0,0,2.42,0,0,0,0,0,0,0,0,0.81,0,12.09,0,0.81,0,0,0.81,0,0,0,0,3.22,0,0,0
 48-58,0,0,0,0,0.57,0,0,1.15,0.57,1.15,0,0,0,0,0.57,0,0.57,0,9.75,0,0,0,0,0,0,0,0,0,2.87,0,0,0
 60-70,0,0,0,0,0,0,0,1.96,0,0,0,0,0,0,0,0,2.94,0,5.89,0,0,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,5.89,0,0,5.89,0,0.98,0.98,0,0,0,0.98,0,2.94,0,7.85,0,0,0,0,3.93,0,0,0,0,0.98,0,0,0
 84-94,0,0,0,0,6.37,0,0,1.06,1.06,0,0,0,2.12,0,1.06,0,0,0,4.25,0,0,3.19,0,9.56,0,1.06,0,0,0,0,1.06,1.06
 96-106,0,0,0,0,2.19,0,0,2.19,1.09,1.09,0,0,0,1.09,0,0,0,0,0,0,0,0,0,3.28,0,0,0,0,0,0,0,0
108-118,0,0,0.77,0.77,33.7,0.77,0.77,1.53,3.83,0.77,3.06,0,0,0,0.77,1.53,5.36,0.77,4.6,0,3.06,3.83,0,20.68,0,0,0.77,0,0,0.77,0.77,0
120,0,0,0,0,1.96,0,0,0,1.96,3.92,1.96,0,0,0,0,0,0,0,1.96,0,0,0,0,9.8,0,0,0,0,0,0,0,0
