stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0,0
  5-6,0,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,2.63,0,2.63,0,0,0,2.63,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,36.8,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,25,0,0,0,0,0,0,1,0,0,1,6,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,1.64,0,0,0,0,0,0,0,0,0.82,0,0,0.82,33.66,0,2.46,0,0,0,0.82,0,1.64,0,0.82,12.31,0,0,0.82,0,0
 36-46,0,0,0,0,0,0,0,3.22,0.81,0,0,4.03,0,0,0,0,0,0,0,0,0.81,0,0,0,66.87,0.81,0.81,0,0,0,0,0,0.81,0,0,12.09,0,0,0,0,0
 48-58,0,0,0.57,0,1.15,0,0,14.35,0,0,0.57,10.9,0,0,0,0,0,0,0,0,6.31,0,0.57,0.57,75.17,0,0.57,0,0,0,1.15,0,0.57,1.72,0,22.38,0,0,0.57,0,1.15
 60-70,0,0,0,0,1.96,0,0,47.11,3.93,0,0.98,9.82,0.98,0.98,0.98,0.98,0,0,0,0.98,9.82,0.98,0,1.96,196.3,0,4.91,0,0,0,0,0,0,0,0,35.33,0,0,0.98,0,0.98
 72-82,0,0,0,0,2.94,8.83,0,198.3,0.98,0.98,4.91,45.16,0,0,0,1.96,0.98,0,2.94,0,49.08,2.94,1.96,9.82,465.31,0,8.83,1.96,0,0,2.94,0,0,0.98,0,50.06,0,0.98,5.89,0,0
 84-94,0,0,1.06,0,11.68,5.31,0,111.51,3.19,2.12,2.12,19.12,2.12,0,0,4.25,0,1.06,1.06,1.06,24.43,2.12,1.06,5.31,234.71,2.12,6.37,0,0,2.12,1.06,0,0,3.19,0,27.61,0,1.06,3.19,1.06,0
 96-106,0,0,1.09,0,10.93,10.93,0,158.46,5.46,0,3.28,30.6,4.37,0,2.19,2.19,1.09,0,3.28,2.19,43.71,2.19,4.37,8.74,265.56,2.19,13.11,5.46,0,2.19,1.09,0,1.09,4.37,0,21.86,1.09,1.09,7.65,3.28,1.09
108-118,0,0,0,0,11.49,2.3,0.77,121.02,9.19,3.06,1.53,31.4,0,0,0.77,2.3,0,0.77,1.53,0,31.4,0,3.06,6.13,299.49,2.3,10.72,2.3,0,1.53,0,0,0.77,3.06,0,12.26,0,0,6.13,4.6,0.77
120,0,0,0,0,19.6,5.88,0,72.51,9.8,1.96,0,23.52,0,0,0,1.96,0,1.96,0,0,17.64,1.96,0,7.84,323.36,3.92,13.72,1.96,0,1.96,0,0,0,0,0,11.76,0,0,9.8,1.96,0
