stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,0,6.29,0,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,0,2,0,17,3,6,0,1,0,1,0,0,0,0,1,0,0,1,0,5,0,0,3,66,1,1,3,1,0,21,11,1,5,23,0,0,1,0,1
 24-34,0,0,0.82,1.64,7.39,0,14.78,0,1.64,0,4.93,0,0,0,0,0.82,0,0,0,1.64,12.31,0,0,7.39,150.22,0.82,4.1,1.64,0,0,13.13,0,1.64,1.64,44.33,0,0,9.03,0,0
 36-46,0,0,0,0,2.42,0,20.14,0,1.61,1.61,8.86,0.81,0,1.61,0,0,0,0.81,0,0,12.09,0.81,0,5.64,143.41,0.81,4.83,1.61,0,0,13.7,0,0,0,27.39,0,0,4.83,0,2.42
 48-58,0,0,0,0,4.59,0,34.43,0,0.57,0.57,6.31,0,0,0.57,0,0.57,0,0.57,0,1.15,18.36,0.57,0,2.3,103.28,1.15,0.57,1.15,0,0,9.75,0,0,0,26.4,0,0,2.3,0,0
 60-70,0,0,0.98,0,2.94,0,81.47,0,0,0.98,11.78,0.98,0,0,0.98,0.98,0,0.98,0,0.98,33.37,0,0.98,2.94,103.06,0,3.93,3.93,0,0,12.76,0,0,0,14.72,0,0.98,5.89,1.96,2.94
 72-82,0,0,0.98,0,7.85,8.83,117.8,0,1.96,4.91,23.56,0.98,0,0,0,0,1.96,0.98,0.98,0,43.19,1.96,2.94,2.94,214,0,5.89,0,0,0,4.91,0,0,0,17.67,0.98,1.96,7.85,0,0
 84-94,0,0,3.19,0,3.19,4.25,89.21,1.06,3.19,1.06,15.93,2.12,0,1.06,4.25,5.31,1.06,1.06,0,0,29.74,0,0,1.06,100.89,0,2.12,0,0,0,29.74,0,1.06,0,13.81,0,1.06,7.43,0,1.06
 96-106,0,0,1.09,0,13.11,3.28,68.85,1.09,1.09,0,22.95,6.56,0,1.09,2.19,2.19,1.09,1.09,2.19,0,27.32,0,3.28,2.19,74.31,2.19,3.28,2.19,0,0,25.14,0,0,0,5.46,2.19,0,7.65,2.19,1.09
108-118,0,0,0.77,0,6.89,1.53,55.92,0.77,2.3,2.3,12.26,4.6,0,0.77,1.53,1.53,1.53,1.53,2.3,0.77,20.68,2.3,5.36,2.3,78.13,0.77,4.6,3.06,0,0.77,8.43,0,0.77,0,2.3,0.77,0.77,3.06,0,2.3
120,0,0,0,0,11.76,3.92,48.99,5.88,3.92,0,9.8,5.88,0,0,1.96,1.96,3.92,1.96,1.96,0,33.32,1.96,0,3.92,107.79,0,0,0,0,1.96,13.72,0,0,0,3.92,1.96,1.96,7.84,1.96,1.96
