stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0
  5-6,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.29,5.26,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0
 10-12,3.15,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.35,9.44,0,0,15.73,0,6.29,3.15,0,3.15,0,0,0,0,0,0
 14-21,0,0,9,0,0,2,0,0,0,4,0,0,0,0,8,0,0,0,2,1,0,1,18,1,0,0,0,0,221,1,4,4,4,0,0,0,0,1
 24-34,0,0,9.03,0,0,6.57,0,1.64,0,1.64,0.82,0,0,0,18.06,0.82,0,0.82,12.31,3.28,0,4.1,85.37,1.64,15.6,3.28,0,0,784.74,0,1.64,0,13.13,0,0,3.28,0,0
 36-46,0,0,6.45,0,0,12.09,1.61,5.64,0.81,2.42,0,0,0,0.81,15.31,1.61,0,0,11.28,9.67,0,0.81,94.26,0,20.14,1.61,0,0,986.14,0,0,0,16.92,0,0,1.61,0,0.81
 48-58,0,0,13.2,0,0,44.18,0,13.2,0.57,11.48,1.15,0,0.57,0,8.61,2.87,0,1.72,24.67,16.07,1.15,2.87,137.71,0,22.38,1.15,0,0,1069.57,0.57,0,0,23.53,0,0,2.87,0,2.87
 60-70,0,0,4.91,0,0,37.3,0.98,7.85,0.98,4.91,0,0,0,0.98,9.82,9.82,0,0.98,17.67,14.72,0.98,1.96,81.47,0,26.5,1.96,0,0,871.59,0.98,0,0,5.89,0,0,0.98,0,2.94
 72-82,0,0,22.58,1.96,0,32.39,0,11.78,0,5.89,0.98,0,0.98,0,27.49,15.71,0,0,18.65,10.8,1.96,0.98,71.66,0.98,31.41,4.91,0,0,1002.28,0,0,0,2.94,0.98,0.98,0.98,0,1.96
 84-94,0,0,35.05,5.31,0,14.87,0,49.92,2.12,8.5,3.19,0,1.06,1.06,53.1,28.68,0,2.12,21.24,30.8,1.06,1.06,62.66,0,104.08,11.68,0,0,3268.95,0,0,0,1.06,1.06,0,1.06,0,1.06
 96-106,0,0,76.5,2.19,0,40.44,0,33.88,2.19,16.39,6.56,0,1.09,3.28,79.78,37.16,4.37,1.09,19.67,41.53,1.09,2.19,85.24,0,150.81,16.39,0,2.19,2847.96,1.09,0,0,2.19,6.56,0,1.09,0,2.19
108-118,0,0.77,79.66,1.53,5.36,18.38,0.77,55.15,0.77,10.72,10.72,0,0,2.3,68.94,46.72,1.53,3.06,13.79,52.85,0.77,1.53,55.92,0,107.23,14.55,0,2.3,2714.57,1.53,0.77,0,0.77,6.89,0.77,1.53,2.3,1.53
120,0,0,52.91,0,3.92,17.64,0,29.4,3.92,9.8,11.76,1.96,0,3.92,27.44,17.64,1.96,0,13.72,21.56,1.96,1.96,33.32,0,66.63,7.84,0,0,1283.66,0,0,0,1.96,0,0,5.88,1.96,0
