stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,73.56,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,10.51,0,0,2.63,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,34.17,5.26,0,0,21.03,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.91,0,0,0,15.73,0,0,0,0,0,3.15,0,0,0,0,0
 14-21,1,0,0,1,6,1,2,0,0,19,0,0,0,0,0,0,0,0,0,0,0,2,14,1,2,3,0,0,0,3,16,3,47,0,0,0,0,0
 24-34,0,0,0,0.82,6.57,0,0,0,0.82,12.31,1.64,0,0,2.46,0,0.82,0,0,4.1,0,0,0.82,25.45,0,9.85,3.28,0,2.46,0,0,9.03,6.57,36.94,0,0,0,0,0
 36-46,0,0,0,0,3.22,0,3.22,0,0,7.25,0.81,0,0,0,0,0,0.81,0,2.42,0,0.81,1.61,29,0,16.92,0,0,0.81,0,0,8.06,0,20.95,0,0,0,0.81,0
 48-58,0,0,0,0,1.15,0,2.87,0,0,9.18,0,0,0,0,0,0.57,0.57,0,5.16,0,0,0.57,25.25,0,7.46,0.57,0,0.57,0,0,2.87,0,28.12,0,0,0,0,0
 60-70,0,0,0,0,0.98,0,9.82,0,0.98,17.67,0,0,0,0,0,1.96,0,0.98,4.91,0,0,0,39.26,0,12.76,2.94,0,0.98,0,0,0,0,20.61,0,0,0,0,0
 72-82,0,0,4.91,0,2.94,0,9.82,0,0,28.47,3.93,0,0,0,0,3.93,0,0,4.91,0,0,0.98,44.17,0,19.63,6.87,0,1.96,0,0,0.98,0,13.74,0,0,0,0,0
 84-94,0,0,1.06,0,6.37,0,8.5,2.12,1.06,14.87,1.06,0,1.06,0,1.06,4.25,0,0,3.19,2.12,0,0,15.93,0,12.74,5.31,0,2.12,0,0,3.19,0,9.56,0,1.06,0,0,0
 96-106,0,0,2.19,0,6.56,2.19,6.56,0,0,21.86,4.37,0,2.19,4.37,0,3.28,1.09,0,7.65,0,1.09,2.19,16.39,0,26.23,16.39,0,3.28,0,0,1.09,0,10.93,0,0,0,0,0
108-118,0,0,1.53,0.77,7.66,0,8.43,1.53,0,16.09,0.77,0,0.77,2.3,0.77,0.77,0,0,3.83,0,0,1.53,20.68,0.77,17.62,9.19,0,0.77,0,0,0,0,6.13,0,0,0.77,0,0.77
120,0,0,0,0,3.92,0,3.92,0,0,3.92,3.92,0,0,1.96,0,0,0,0,0,0,0,1.96,17.64,0,5.88,3.92,0,0,0,0,1.96,0,5.88,3.92,0,0,0,0
