stage,endocrine.pancreas,endoderm,eye,fin.mesenchyme,glial,iridophores,lateral.line,mesenchyme,muscle,neural,otic,spinal.cord
  7-9,0,2.63,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,13,0,4
 24-34,0,0,3.28,0.82,0.82,0,0,1.64,1.64,23.8,0,9.03
 36-46,0,0,4.03,0,1.61,0,0,6.45,0.81,29,0,15.31
 48-58,0,0,1.15,0.57,6.89,0,0,6.31,0,24.1,0.57,15.49
 60-70,0,0,3.93,0,11.78,0,0,11.78,0,79.5,0.98,33.37
 72-82,0,0,0.98,0,1.96,0,0.98,9.82,0,26.5,0,8.83
 84-94,1.06,0,1.06,0,4.25,0,1.06,3.19,0,16.99,0,2.12
 96-106,0,0,3.28,0,1.09,0,0,4.37,0,15.3,0,2.19
108-118,0,0,0,0,0.77,0.77,0,1.53,0,8.43,0,1.53
120,0,0,0,0,0,0,0,1.96,0,0,0,0
