stage,axial,blastomeres,endocrine.pancreas,epidermis,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,iridophores,lateral.line,melanocytes,mesenchyme,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,somites,spinal.cord,vasculature,xanthophores
  3-4,0,289.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,190.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,6.13,0,0,0,0,0,0
  7-9,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,34.17,0,0,13.14,0,0,0,0,0,0,0
 10-12,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,25.18,0,3.15,0,0,0,0,0
 14-21,0,0,0,1,0,0,0,1,2,1,0,0,0,1,0,0,20,0,1,0,0,0,3,4,6,0,0
 24-34,0,0,0.82,0.82,0.82,0,0.82,0,0,0,0,0,0.82,0,0,0.82,30.37,0,0,0,0,0,0,0.82,4.93,0,0
 36-46,0,0,0,0,2.42,0,0,0.81,0,0,0,0,0,3.22,0,0,20.14,0.81,0,0,2.42,0,0,0,12.89,0,0
 48-58,0,0,0,0.57,4.02,0,0,0.57,0,0,0,0,0,1.72,0,0,10.33,1.15,0,0,0.57,0,0,0,5.74,0,0
 60-70,0,0,0,0,35.33,0,0,0,0,0,0,0,0,1.96,0,0,11.78,0,0,0,0.98,0,0,0,0.98,1.96,0
 72-82,0,0,0,0,129.58,0,0,0,0,0,0,0,0,2.94,0,0,11.78,0,0,0,0,0,0,0,1.96,0,0
 84-94,0,0,0,0,94.52,0,0,2.12,0,0,1.06,0,0,2.12,1.06,1.06,8.5,0,0,0,2.12,0,0,0,0,1.06,0
 96-106,0,0,1.09,2.19,109.28,0,0,1.09,0,0,0,1.09,0,4.37,0,1.09,16.39,0,0,0,0,0,0,0,0,0,1.09
108-118,0,0,0,1.53,76.6,0,0,1.53,0,0,0,0,0,3.83,0,0.77,9.19,0.77,0,0,0.77,0,0,0,0,0.77,0
120,0,0,0,0,74.47,1.96,0,0,1.96,1.96,0,0,0,9.8,0,0,39.2,0,0,0,0,0,0,0,0,0,0
