stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,15.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,3.15,0,0,0,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,3,24,36,0,0,0,0,0,1,4,6,0,0,0,0,0,0,10,0,0,11,25,0,0,1,0,0,0,3,1,9,120,40,0,0,76,0,0
 24-34,0,0,0,0,2.46,2.46,0,2.46,0,0,0.82,0,0.82,13.95,4.93,0.82,0,0,0,0,56.64,0,0,19.7,94.4,0,3.28,0,0,0.82,0,0,0,9.03,55.82,100.14,0,0,275.81,0,0
 36-46,0,0,0,0,0,0.81,0,2.42,3.22,0,0.81,0,0,12.89,1.61,0.81,0.81,1.61,0,0.81,145.83,0,1.61,41.09,101.51,2.42,0.81,0,0,1.61,0,0,0,9.67,3.22,79.76,0,0,168.38,0.81,0
 48-58,0,0,0,0,1.15,0,0,12.05,8.03,0,4.59,4.59,0.57,16.64,1.15,0.57,0,2.3,0.57,0.57,239.28,0,1.15,47.05,141.16,1.15,1.15,0,0,1.15,0,0,0,4.02,0,75.74,0,1.72,143.45,0.57,0
 60-70,0,0,0,0,0.98,1.96,1.96,48.09,14.72,0,4.91,17.67,1.96,8.83,2.94,0,0,4.91,0,0,306.23,0,5.89,31.41,237.53,0.98,1.96,0,6.87,2.94,0,0,1.96,5.89,0,119.75,0,1.96,100.12,1.96,0
 72-82,0,0,0,0,3.93,0.98,3.93,139.4,14.72,0,8.83,37.3,3.93,18.65,0.98,0,0,5.89,0,0,396.59,0,2.94,30.43,360.27,0.98,5.89,0,9.82,5.89,0,0,0.98,2.94,0,70.68,0,4.91,172.77,5.89,0
 84-94,0,0,0,0,8.5,1.06,7.43,87.09,18.05,0,5.31,28.68,3.19,7.43,5.31,0,1.06,3.19,0,1.06,249.58,0,5.31,33.99,203.91,1.06,6.37,0,12.74,4.25,0,0,0,7.43,0,48.85,0,4.25,160.37,4.25,0
 96-106,0,0,1.09,0,14.21,3.28,7.65,95.08,21.86,2.19,6.56,28.41,10.93,19.67,7.65,0,0,10.93,2.19,0,268.84,2.19,2.19,27.32,204.36,3.28,10.93,1.09,16.39,3.28,1.09,0,1.09,5.46,0,20.76,0,5.46,205.46,2.19,2.19
108-118,0.77,0,0.77,0,12.26,0,24.51,54.38,22.21,1.53,4.6,26.81,8.43,6.89,6.89,0.77,0.77,9.19,0.77,0,215.24,0.77,6.13,36.77,207.58,0.77,6.89,0,19.15,1.53,0,0,0,11.49,0,18.38,0.77,2.3,144,4.6,0
120,0,0,1.96,0,11.76,0,17.64,54.87,23.52,1.96,9.8,9.8,9.8,7.84,13.72,0,0,3.92,3.92,0,152.86,0,7.84,25.48,195.98,5.88,13.72,0,0,5.88,0,1.96,3.92,1.96,0,17.64,1.96,0,135.23,0,0
