stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,26.36,593.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,294.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,15.77,0,10.51,0,0,0,42.06,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,239.21,0,0,0,68.35,0,0,5.26,0,0,0,0,0,0,0,0,0,0
 10-12,0,15.73,0,37.76,0,3.15,0,53.5,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,730.1,12.59,0,0,169.94,0,0,3.15,0,25.18,0,0,0,0,0,0,0,0
 14-21,1,0,1,7,40,20,0,36,0,0,10,4,0,0,0,2,0,0,0,0,28,0,0,21,427,9,7,0,6,0,7,1,24,1,0,26,136,0,0,4,0,0
 24-34,0,0,0,1.64,20.52,3.28,0,123.95,0.82,3.28,9.03,1.64,0,2.46,0.82,0.82,0.82,2.46,0,0.82,86.19,0,0.82,34.48,774.89,0.82,3.28,7.39,0,0,17.24,0,0,0.82,0,4.1,150.22,0,0,10.67,0,1.64
 36-46,0,0,0,0.81,8.86,0,0,183.69,0.81,0.81,8.06,0,0,0.81,1.61,0,0,0.81,0.81,0.81,74.93,0,0.81,28.2,361.75,0.81,4.03,2.42,0,0,8.86,0.81,0,0.81,0,0,70.09,0,0,4.83,0,3.22
 48-58,0,0,0,0.57,9.18,0,0,140.01,0,3.44,16.07,1.15,0,1.72,1.15,0,1.15,1.15,0.57,0,72.87,0.57,3.44,13.77,161.24,0.57,2.3,2.3,0,0.57,4.59,0,0,0.57,0.57,0,21.8,0,0,7.46,0,1.15
 60-70,0,0,0,0,10.8,0,0,126.62,1.96,0,27.48,2.94,0,0,2.94,0,0,0,0.98,0,53.98,0.98,4.91,8.83,117.78,0,2.94,0.98,0,0,1.96,0,0,0,0,0,14.72,0,0,3.93,0,0
 72-82,0,0,0,0,8.83,3.93,0.98,47.12,0,3.93,38.28,5.89,0,2.94,5.89,1.96,0.98,0.98,0.98,0,95.22,1.96,2.94,15.71,144.3,0,6.87,5.89,0,0,0.98,0,0,0,0,0,8.83,0.98,0,9.82,0.98,1.96
 84-94,0,0,0,1.06,20.18,2.12,0,54.16,0,1.06,22.3,4.25,0,0,6.37,1.06,0,1.06,1.06,0,72.22,0,5.31,10.62,93.46,4.25,2.12,9.56,0,0,3.19,0,0,0,0,0,5.31,0,0,8.5,2.12,1.06
 96-106,0,0,1.09,0,10.93,2.19,0,39.34,0,2.19,20.76,7.65,0,1.09,2.19,1.09,1.09,1.09,0,0,40.44,0,2.19,4.37,76.5,0,2.19,7.65,0,3.28,7.65,2.19,0,1.09,0,0,2.19,0,1.09,14.21,1.09,0
108-118,0,0,0,0.77,19.15,1.53,0.77,26.04,1.53,0.77,23.74,6.13,0,0.77,5.36,1.53,1.53,0.77,1.53,0,47.49,0,0,7.66,87.32,1.53,1.53,0.77,0,0.77,1.53,0,0,0,0,0,3.06,0.77,1.53,4.6,0.77,0
120,0,0,0,0,31.36,5.88,1.96,41.16,1.96,1.96,17.64,1.96,0,0,15.68,0,0,1.96,3.92,0,48.99,0,5.88,11.76,121.51,1.96,0,1.96,0,0,0,0,0,0,0,0,3.92,0,3.92,7.84,0,0
