stage,blastomeres,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,glial,hatching_gland,immune,ionocyte,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,slow_muscle,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  3-4,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,2.63,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,3.15,0,0,0,0,0,0,0,18.88,0,0,12.59,0,0,0,0,0,0,0
 14-21,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
 24-34,0,0,260.21,0,0,0,0,0,0,0,0,0,2.46,0,2.46,19.7,0,0,0,1.64,0,1.64,3.28,0.82,0,0
 36-46,0,0.81,149.05,1.61,0,0,0,0,0,0,0,0,0,0,0.81,12.09,0.81,0,0,0.81,0,0,3.22,0.81,0,0
 48-58,0,0.57,237.56,6.89,0,0,0.57,0,0,0,0.57,0,2.3,0,0,19.51,0,0,0,1.15,0,0,2.3,0.57,0,0
 60-70,0,0.98,206.12,9.82,0,0,0,0,0,1.96,0,0,3.93,0,0,11.78,0,0,0,0.98,0,0,2.94,0,0,0
 72-82,0,0.98,293.52,15.71,0,0,1.96,0,0,0,0,0,12.76,0,0,12.76,0,0,0,0,0,0,0.98,0.98,0,0.98
 84-94,0,1.06,198.6,6.37,0,1.06,3.19,0,2.12,0,0,0,5.31,0,1.06,11.68,1.06,1.06,0,1.06,0,0,0,2.12,0,0
 96-106,0,2.19,216.38,12.02,1.09,1.09,0,0,0,0,0,1.09,9.84,1.09,3.28,12.02,0,0,0,1.09,0,0,0,1.09,0,0
108-118,0,0.77,161.62,3.06,0,0,0.77,0,0,0,0,0.77,1.53,0,0.77,3.06,0,0.77,0,2.3,0,0,0,1.53,0.77,0
120,0,0,217.54,1.96,0,0,3.92,0,0,0,0,0,1.96,1.96,0,7.84,0,0,0,1.96,0,0,0,0,0,0
