stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  3-4,92.25,448.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0,0,0,0,0
  5-6,24.52,214.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.03,0,0,0,7.89,0,7.89,2.63,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,44.06,0,0,0,15.73,0,15.73,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,14,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,12,1,0,0,0,0,21,0,34,2,6,0,0,0,0
 24-34,0,0,0,0,1.64,1.64,8.21,0,0,0,0,0,0,1.64,0,0,0,0,0.82,0,0,0.82,21.34,0,0.82,0.82,0,0,17.24,0,22.98,0,2.46,0,0,4.1,0
 36-46,0,0,0,0.81,0,0,8.06,0,0,0,0,0,0,0,0,0.81,0,0,1.61,0,0,0,45.12,0,0,0.81,0,0,6.45,0,9.67,0,8.06,0,0,0.81,0.81
 48-58,0,0,0,0,0.57,0.57,21.8,0,2.87,0,0,0,0,1.72,0,0,0,0.57,1.15,0,0,0.57,65.99,0,0,0,0,0,6.89,0,6.89,0,13.77,0,0,2.87,0.57
 60-70,0,0,0,0,0.98,0,106.99,0.98,3.93,1.96,0,0,0.98,0.98,0.98,0.98,0,0,1.96,0,1.96,0,122.69,0,0,0,0,0.98,13.74,0,10.8,0,10.8,0.98,0,1.96,0
 72-82,0,0,1.96,0,1.96,1.96,99.15,0,3.93,1.96,0,0.98,1.96,0,0,0,1.96,0,4.91,0.98,0.98,0,85.4,0,0.98,1.96,0,0,4.91,0,38.28,0,3.93,0,0.98,7.85,0
 84-94,0,0,0,0,4.25,3.19,62.66,0,8.5,5.31,0,0,2.12,3.19,1.06,0,0,0,3.19,0,0,0,45.67,0,0,1.06,0,0,28.68,0,82.84,0,5.31,0,0,7.43,0
 96-106,0,0,1.09,0,2.19,6.56,34.97,0,2.19,7.65,0,0,8.74,4.37,2.19,0,2.19,0,3.28,0,0,1.09,34.97,0,0,4.37,0,0,12.02,0,104.91,0,2.19,0,0,1.09,0
108-118,0,0,0.77,0,6.89,3.83,40.6,0,6.13,16.85,0,0,4.6,7.66,0.77,0,6.13,0,8.43,0,2.3,0,31.4,0,0.77,0.77,0,0,6.89,0,108.77,0,0,0,0,3.06,0
120,0,0,0,0,17.64,7.84,23.52,0,5.88,9.8,0,0,1.96,9.8,1.96,0,7.84,0,3.92,0,0,1.96,39.2,0,0,3.92,0,0,13.72,0,64.67,0,0,1.96,0,1.96,0
