stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,553.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,429.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,0,18.4,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,105.15,0,0,0,42.06,0,2.63,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,3.15,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132.17,3.15,0,0,18.88,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,25,4,0,12,0,0,3,1,1,0,0,0,0,0,0,0,15,0,0,8,81,0,0,1,1,0,2,0,10,1,10,18,0,0,1,0,0
 24-34,0,0,0,2.46,13.13,0,0,20.52,4.1,0.82,3.28,1.64,0,0,0.82,0.82,0.82,0,0,0.82,18.88,0,0,2.46,101.79,0,0.82,0.82,0,0,20.52,0,0.82,1.64,0,13.95,0,0,4.93,0,0.82
 36-46,0,0,0,0,6.45,0,0,9.67,0,2.42,4.83,0.81,0,0,1.61,0.81,0,1.61,1.61,0,15.31,0,0.81,3.22,58.01,0,0,0.81,0,0,11.28,0,0,0.81,0,9.67,0,0.81,4.83,0,0
 48-58,0,0,0,0,2.87,0.57,0,12.62,2.87,1.72,5.74,2.87,0,0.57,1.72,0.57,0,0,0.57,0.57,19.51,0.57,0.57,2.87,40.17,0,2.3,1.15,0,0,7.46,0,0,0,0,12.05,0,0,2.87,0,2.3
 60-70,0,0,0.98,0,1.96,0,0,16.69,1.96,0,12.76,2.94,0,0.98,2.94,0.98,0,0,0,0,29.45,0,0.98,5.89,40.24,0,0.98,0,0,0.98,15.7,0,0,0,0,11.78,0,0,4.91,0.98,0.98
 72-82,0,0,0,0,10.8,0.98,0,31.41,0,3.93,34.36,6.87,0,0.98,3.93,0.98,0,0.98,3.93,0.98,51.05,2.94,1.96,6.87,72.64,0,1.96,2.94,0,0.98,5.89,0,0,0.98,0,7.85,1.96,0,2.94,0.98,1.96
 84-94,0,0,1.06,0,18.05,1.06,0,26.55,3.19,2.12,19.12,21.24,0,2.12,7.43,3.19,2.12,0,1.06,1.06,40.36,1.06,1.06,6.37,48.85,1.06,0,3.19,0,0,45.67,0,0,3.19,0,3.19,0,0,5.31,2.12,1.06
 96-106,0,0,1.09,0,22.95,2.19,0,16.39,1.09,0,17.49,9.84,0,1.09,8.74,5.46,0,2.19,5.46,1.09,40.44,0,0,5.46,46.99,1.09,3.28,6.56,0,2.19,18.58,0,0,1.09,0,6.56,4.37,1.09,7.65,2.19,1.09
108-118,0,0,0,0.77,35.23,0.77,3.06,13.02,9.96,2.3,27.57,8.43,0,0.77,6.13,5.36,3.06,3.06,9.19,0.77,45.96,2.3,1.53,12.26,60.51,0.77,2.3,6.89,0,0.77,22.21,0,0,0,0,3.06,3.06,1.53,12.26,0,0.77
120,0,0,0,0,27.44,1.96,0,9.8,3.92,0,23.52,17.64,0,0,0,0,3.92,3.92,5.88,0,35.28,0,0,7.84,56.83,0,1.96,1.96,0,0,9.8,0,0,1.96,0,1.96,1.96,0,11.76,0,0
