stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,slow.muscle,somites,spinal.cord,taste,vasculature,xanthophores
  3-4,26.36,566.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0,0,0
  5-6,6.13,300.35,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,6.13,0,0,0,0,0,0
  7-9,5.26,0,0,2.63,0,0,5.26,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,47.32,2.63,0,0,7.89,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.76,0,0,0,6.29,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,1,13,0,0,0
 24-34,0,0,0,0,2.46,0,1.64,0,0,0,0.82,0,0,0,0,0,0,0,0,0.82,0,2.46,108.35,0,1.64,2.46,0,0,0,0,71.41,0,0,0.82
 36-46,0,0,0,0,0.81,0,7.25,0,0,0,0.81,0,0,0.81,0,0,0,0,0,0.81,0,1.61,258.62,0,2.42,0,0,0.81,0,0,140.19,0,0.81,0
 48-58,0,0,0,0,1.72,0,25.82,0,0.57,0,4.02,0,0,0.57,0,0,0,0,0,9.75,1.15,1.15,311.58,0,1.15,0,0,1.15,0.57,0,103.28,0,0,0.57
 60-70,0,0,0,0,1.96,0,69.69,0,0,0,1.96,0,0,0,0.98,0,0,0,0,9.82,0,0,663.51,0,1.96,2.94,0,0,0,0,159.01,0,0,0.98
 72-82,0,0,0.98,0,2.94,4.91,74.61,0,0.98,1.96,11.78,0,0,0,0,0.98,1.96,0,0.98,9.82,0,0,618.45,0,0.98,2.94,0,1.96,0,0,100.13,1.96,0,0.98
 84-94,0,0,0,0,2.12,1.06,53.1,0,1.06,1.06,9.56,1.06,0,0,0,0,0,0,0,2.12,0,1.06,287.81,0,1.06,10.62,0,2.12,0,0,50.98,1.06,2.12,0
 96-106,0,0,0,0,5.46,2.19,59.01,0,1.09,0,17.49,2.19,0,0,3.28,0,0,0,0,7.65,2.19,2.19,298.35,0,2.19,3.28,0,4.37,0,0,29.51,1.09,0,0
108-118,0,0,0,0,3.83,0.77,52.09,0.77,0,0,26.81,0.77,0,0,0.77,0,2.3,0,0,3.83,0.77,0.77,307.15,0,1.53,6.89,0,0,0,0,19.92,0.77,1.53,0
120,0,0,0,0,9.8,1.96,60.75,0,0,0,35.28,0,0,3.92,1.96,0,1.96,3.92,0,9.8,0,1.96,468.39,0,0,1.96,0,1.96,0,0,54.87,0,1.96,0
