stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,34.17,0,0,0,26.29,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103.85,0,0,0,12.59,0,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,211,0,0,0,0,0,0,6,1,1,5,23,0,0,0
 24-34,0,0,0,1.64,0,0,0,0,0,0,0,0,0,0,0,0,1.64,0,0,0.82,146.11,0,0,0,0,0,0,0,0,0,2.46,62.39,0,0,0
 36-46,0,0,0,1.61,0.81,0,2.42,0,0,0.81,0,0,0,0,0,0,0.81,0,0,0.81,403.64,0,0,0,0,0,0.81,0,0,0,0,107.96,0,0,0
 48-58,0,0,0,1.72,0,0,26.97,0,0,0.57,5.74,0,0,0,0,0,6.31,0,0.57,0,603.07,0.57,0,0.57,0,0,0,0,0,0,0,109.02,0,0,2.3
 60-70,0,0.98,0,1.96,0,0,100.12,0,0,0.98,5.89,0,0,0,0,0.98,2.94,0,0,0.98,684.12,0,0,0,0,0,1.96,0,0,0.98,0,145.27,0,0,0.98
 72-82,0,0,0,2.94,0,0,167.86,0,0,0,15.71,0,0,0,0.98,0,9.82,0.98,0,0.98,667.53,0,0.98,0.98,0,0,0.98,0,0,0,0,103.07,0.98,0,0
 84-94,0,0,0,8.5,1.06,0,115.76,0,1.06,1.06,11.68,1.06,1.06,1.06,0,1.06,5.31,0,0,1.06,350.47,0,0,1.06,0,0,1.06,0,0,0,0,58.41,0,0,1.06
 96-106,0,0,0,4.37,1.09,0,97.26,1.09,0,0,9.84,2.19,0,0,0,1.09,9.84,0,0,1.09,301.63,0,0,0,0,0,1.09,0,0,0,0,28.41,0,2.19,0
108-118,0,0,0,4.6,0,0,65.11,0.77,0.77,0,12.26,0.77,0,0,0,0.77,6.13,0,0,3.83,293.36,0,3.06,0,0,0.77,0.77,0,0,0,0,16.09,0,0,0
120,0,0,1.96,1.96,0,1.96,54.87,0,0,0,11.76,0,0,0,1.96,0,3.92,0,0,1.96,274.37,1.96,0,0,0,0,1.96,0,1.96,0,0,31.36,0,1.96,0
