stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0,1,0,0
 24-34,0,0,2.46,421.1,0,5.75,0,0,0,0.82,0,0,0.82,0.82,0,0,0,0,3.28,0,0,3.28,42.68,0,0,0,0,0,3.28,0,0,0.82,0.82,6.57,0,0,0.82,0,0
 36-46,0,0,0,432.64,0,4.83,0,0,0,0.81,0,0,0,0,0,0.81,0,0,4.83,0,0,0.81,37.06,1.61,0,0,0,0,2.42,0,0,0,0,3.22,0,0,0.81,0,0
 48-58,0,0,0.57,698.89,0,19.51,0,0,0.57,3.44,0,0,0,0,0,0.57,0,0,9.18,0,0.57,1.72,40.74,0,0.57,0,0,0,3.44,0,0,0,0,14.92,0,0,1.72,0,0.57
 60-70,0,0,3.93,880.43,0,43.19,0,0,0.98,5.89,0.98,0,1.96,0,0,0.98,0,0,19.63,0,0,2.94,71.65,0,0.98,0.98,0,0,4.91,0,0,0,0,13.74,0,0,2.94,0,0.98
 72-82,0,0,2.94,923.74,0,34.36,0,1.96,0,9.82,0.98,0.98,0,0.98,0,1.96,1.96,0,17.67,0,0.98,2.94,73.62,0,1.96,0,0,0,2.94,0,0,0,0,9.82,0,0,5.89,0,0.98
 84-94,0,0,4.25,747.67,0,31.86,1.06,0,0,3.19,3.19,0,4.25,0,4.25,0,0,0,12.74,1.06,0,2.12,30.8,0,1.06,1.06,0,0,4.25,0,1.06,0,0,3.19,0,0,3.19,2.12,1.06
 96-106,0,0,4.37,916.9,1.09,21.86,1.09,0,0,10.93,3.28,2.19,3.28,0,0,1.09,1.09,1.09,20.76,1.09,1.09,6.56,51.36,0,2.19,1.09,0,0,14.21,0,1.09,0,0,2.19,1.09,1.09,7.65,2.19,1.09
108-118,0,1.53,4.6,615.07,1.53,14.55,0.77,0.77,0,5.36,0.77,0.77,1.53,0.77,0.77,0.77,0,0,18.38,1.53,0,0.77,43.66,0.77,1.53,0,0,0,8.43,0,0,0,0,0.77,0,0.77,4.6,0.77,0
120,0,0,9.8,789.79,0,15.68,0,0,1.96,5.88,1.96,0,5.88,1.96,1.96,0,0,0,15.68,0,0,9.8,37.24,1.96,0,0,0,1.96,5.88,0,1.96,1.96,0,0,0,1.96,7.84,0,0
