stage,axial,blastomeres,epidermis,erythrocytes,eye,fin.mesenchyme,glial,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,otic,pericytes,periderm,pronephros,spinal.cord,vascular.smooth.muscle,vasculature
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.14,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0
 14-21,0,0,0,2,0,0,0,16,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,27.91,9.85,0,0,0,0.82,0.82,0,0,1.64,0,0,0,0,0.82,0,1.64
 36-46,0,0,0.81,0,0,0,0,33.03,6.45,0,0,0,0,0.81,0,0,4.03,0,0,0,0,0,0,0.81
 48-58,0,0,0.57,0,0,0.57,0,26.97,0.57,0,0,0,0.57,1.15,0,0,1.72,0,0,0.57,0,0.57,0,0
 60-70,0,0,0,0.98,0,0,2.94,31.41,1.96,0,0,0,0.98,0,0,0,5.89,0,0.98,0,0,0,0,0.98
 72-82,0,0,0,1.96,3.93,0,1.96,59.88,0.98,0,0,0,5.89,0,0,1.96,19.63,0.98,1.96,0,0.98,0,0.98,0.98
 84-94,0,0,0,5.31,0,1.06,0,86.03,0,1.06,0,0,1.06,2.12,1.06,0,4.25,0,0,0,0,0,0,1.06
 96-106,0,0,1.09,6.56,0,0,0,115.84,0,0,0,0,7.65,0,1.09,1.09,4.37,0,0,0,0,0,0,6.56
108-118,0,0,0,2.3,2.3,0,2.3,103.41,3.06,0,0,0,3.06,0.77,0,0,6.89,0.77,0,0,0,0,0,3.83
120,0,0,0,5.88,1.96,0,1.96,121.51,3.92,0,1.96,1.96,1.96,0,0,0,5.88,0,0,1.96,0,0,0,9.8
