stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,glial,immune,melanocytes,mesenchyme,muscle,neural,olfactory,periderm,spinal.cord,vasculature,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0
 24-34,0,0.82,0,0,0,0,0,0,0.82,0,60.74,0.82,0,15.6,0,0
 36-46,0,0,0,0,4.03,0,0.81,0,0.81,0.81,141.8,0.81,0,16.92,0,0
 48-58,0,0,1.15,0,10.33,3.44,4.02,0,0,0,145.75,0,0,18.94,0,0
 60-70,0,0,0,0.98,20.61,0,16.69,0.98,0,0.98,132.51,0,0,13.74,0,0
 72-82,0,0,0,2.94,23.56,0.98,31.41,0,0.98,0,68.72,0,0,4.91,0.98,0
 84-94,0,0,1.06,1.06,10.62,2.12,44.61,0,0,0,41.42,0,1.06,3.19,0,0
 96-106,0,0,0,4.37,8.74,6.56,87.43,0,0,0,27.32,2.19,0,0,0,1.09
108-118,0,0,0.77,0.77,5.36,1.53,44.43,0,0.77,0,19.92,0,0,1.53,1.53,0
120,0,0,0,1.96,1.96,0,50.95,0,0,0,17.64,0,0,0,1.96,0
