stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,5.26,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.64,0,0,0,0,0,0,0,0,0.82,0,0,0.82,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.81,0,0,0,0,0,0,0,0.81,0,0,0,0,0,0,0,0,0,0,0,0.81,0,0
 48-58,0,0,0,0,0,0.57,0,0,0,0,0,0.57,0,0,0,0,0,0,0,0.57,0,0,1.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,0.98,0,0,0,0,0,0,0,0,0,0,0,0,0.98,0.98,0,0,0.98,0,0,0,0,0,17.67,0,0,0,0,0,0,0,0
 72-82,0,0,0,0.98,0,5.89,0,8.83,0,4.91,0,0,0,5.89,0.98,0,0,0,1.96,5.89,0,0,13.74,0.98,0,0,0,0,423.1,0,0,0.98,0.98,0.98,0.98,0,0.98
 84-94,0,0,7.43,0,0,2.12,0,12.74,0,0,1.06,0,0,4.25,0,0,0,0,1.06,3.19,0,0,6.37,0,0,0,0,0,689.26,0,0,1.06,0,0,2.12,0,1.06
 96-106,0,1.09,30.6,7.65,1.09,41.53,1.09,91.8,1.09,12.02,7.65,0,4.37,54.64,2.19,9.84,3.28,0,22.95,41.53,2.19,3.28,96.17,0,3.28,3.28,0,0,3068.71,1.09,0,6.56,2.19,0,6.56,3.28,1.09
108-118,0,0.77,45.19,1.53,0.77,16.09,0,187.66,0.77,8.43,3.83,0,0.77,77.36,0,3.83,1.53,0.77,11.49,58.98,0.77,3.83,63.57,0.77,1.53,0.77,0,0.77,3260.7,0,0.77,1.53,2.3,0,3.06,0,1.53
120,0,0,64.67,3.92,0,9.8,1.96,131.31,0,3.92,3.92,0,0,25.48,0,0,1.96,0,11.76,31.36,1.96,1.96,31.36,0,0,1.96,0,0,1793.2,0,0,3.92,3.92,0,1.96,0,0
