stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,92.25,606.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0,0,0
  5-6,49.04,416.82,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.52,6.13,0,0,18.39,0,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,13.14,10.51,10.51,0,0,28.92,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,199.78,5.26,0,0,57.83,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,22.03,0,0,34.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,213.99,0,0,0,81.82,0,0,0,0,9.44,0,0,0,0,0,0,0,0
 14-21,0,0,0,13,0,5,0,0,0,2,0,0,0,0,0,0,0,4,0,2,75,1,0,3,0,0,3,0,8,0,0,4,29,0,0,0,0,0
 24-34,0,0,0,4.93,0.82,9.85,0,0,2.46,0,0,0,0,0,0,0.82,0,11.49,0,5.75,180.59,0,0.82,3.28,0,0,2.46,0,0,0,0,6.57,32.83,0,0,3.28,0,0.82
 36-46,0,0,0,0,0,46.73,0,1.61,4.83,0,0,0,0,0,0,0.81,0,8.86,0,5.64,160.33,0,0.81,1.61,0,0,1.61,0,0,0,0,0,32.23,0,0,0.81,0,0
 48-58,0,0,0,0.57,0,42.46,0,0,7.46,0,0,0.57,0,0,0,0,0,14.35,1.15,2.87,80.33,0,0.57,0.57,0,0,1.15,0.57,0,0,0,0,18.94,0,0,0,0,0
 60-70,0,0,0,2.94,0,45.15,0,0,2.94,0,0,0,1.96,0,0,0.98,0.98,9.82,1.96,0,83.43,0.98,0.98,0,0,0,0,0,0,0,0,0,13.74,0,0.98,0.98,0,0
 72-82,0,0,0,0,3.93,28.47,0,0,4.91,0,0,0,0,0,0.98,0.98,0,14.72,0,1.96,52.03,0,0,1.96,0,0,0,0,0,0,0,0,3.93,0.98,0,0.98,0.98,0
 84-94,1.06,0,0,1.06,0,26.55,1.06,1.06,2.12,0,0,0,2.12,0,0,1.06,0,14.87,0,1.06,29.74,1.06,0,0,0,0,0,0,0,0,0,0,5.31,0,0,1.06,2.12,0
 96-106,0,0,0,2.19,1.09,14.21,1.09,1.09,10.93,0,0,1.09,1.09,1.09,0,1.09,0,6.56,2.19,3.28,34.97,1.09,2.19,1.09,0,1.09,1.09,0,0,0,1.09,0,2.19,0,0,1.09,1.09,0
108-118,0,0,0,2.3,0,10.72,2.3,0,6.89,0,0,0,0.77,0,0.77,1.53,0,15.32,0.77,0.77,40.6,0.77,1.53,2.3,0,0,0.77,0,0,0,0,0,1.53,0.77,0.77,2.3,0.77,0.77
120,0,0,0,1.96,1.96,21.56,0,0,1.96,1.96,0,0,0,0,0,1.96,0,5.88,0,1.96,29.4,1.96,0,0,0,0,1.96,0,0,1.96,3.92,0,1.96,0,0,0,1.96,0
