stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.36,1080.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0,0,0,0,0,0,0
  5-6,36.78,165.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.39,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,2.63,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.29,2.63,0,0,10.51,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,6.29,0,0,0,3.15,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,15.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,2,1,60,5,0,0,0,0,0,0,0,0,0,10,0,0,0,0,2,2,0,0,1,25,13,0,3,1,0,10,1,3,1,2,37,0,0,8,0,0
 24-34,0,0,3.28,0,84.55,0.82,0,5.75,0.82,1.64,0.82,3.28,0.82,0,0,25.45,0,0,0.82,0,4.1,4.93,0.82,0,2.46,199.47,22.98,9.03,2.46,0,0,44.33,0,2.46,0.82,0.82,79.62,0,0,39.4,0,1.64
 36-46,0,0,0.81,0,40.28,0,0,12.09,1.61,4.03,0,1.61,0.81,0,0,21.75,0,0,1.61,0.81,0.81,5.64,0,0,1.61,501.13,29,7.25,8.06,0,0,22.56,0,2.42,0,0,124.88,0,0,24.98,0,0
 48-58,0,0,0,0,63.12,0,0,50.49,2.87,7.46,1.72,20.66,2.87,0,1.72,39.59,0,0,1.15,0.57,2.3,22.38,0,0,8.61,717.26,35,8.03,11.48,0,0,12.05,0,1.15,0,0,159.52,0,0,21.23,0,1.15
 60-70,0,0,2.94,0,65.76,2.94,0,95.21,2.94,9.82,0.98,28.46,13.74,0,0,47.11,0,0,1.96,0.98,1.96,35.33,0.98,1.96,5.89,1086.54,29.45,9.82,13.74,0,0.98,14.72,0,0.98,0,0,172.75,0,0,17.67,0,0.98
 72-82,0,0,13.74,0,86.39,1.96,0,200.26,2.94,14.72,2.94,46.14,39.27,0.98,0,93.26,0.98,0,1.96,0.98,0.98,114.85,0.98,3.93,10.8,1070.01,27.49,17.67,22.58,0,1.96,6.87,0,1.96,0.98,0,104.06,3.93,0,31.41,1.96,1.96
 84-94,0,0,5.31,0,167.8,0,0,110.45,7.43,32.92,0,39.3,52.04,0,1.06,106.2,3.19,0,1.06,0,1.06,58.41,0,3.19,7.43,494.91,44.61,7.43,16.99,0,1.06,15.93,0,3.19,0,0,56.29,4.25,0,36.11,6.37,0
 96-106,0,0,13.11,1.09,139.88,1.09,1.09,134.42,4.37,32.79,2.19,36.06,55.74,0,3.28,153,1.09,0,1.09,0,3.28,62.29,3.28,3.28,9.84,450.25,30.6,18.58,24.04,0,0,16.39,1.09,2.19,0,0,20.76,4.37,0,36.06,4.37,0
108-118,0,0,6.89,1.53,154.72,0.77,0.77,79.66,6.13,39.83,0,34.47,55.92,0,0.77,112.6,2.3,2.3,0.77,0,0.77,57.45,0,6.13,6.89,523.92,29.11,13.79,26.04,0,0.77,12.26,0.77,0,0,0,17.62,7.66,2.3,29.87,0.77,0.77
120,1.96,0,0,0,117.59,3.92,0,56.83,7.84,11.76,1.96,19.6,54.87,0,3.92,119.55,3.92,0,1.96,0,0,56.83,0,0,1.96,499.75,43.12,7.84,11.76,0,3.92,7.84,0,0,0,0,9.8,5.88,1.96,27.44,3.92,0
