stage,blastomeres,epidermis,erythrocytes,eye,gut,immune,mesenchyme,neural,otic,paraxial_mesoderm,periderm,vasculature,visceral_smooth_muscle
  5-6,24.52,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,3.15,0,6.29,0,0,0
 14-21,0,0,0,0,0,0,1,0,0,0,0,0,0
 24-34,0,0,0,0,0,4.1,0,1.64,0,0,0,2.46,0
 36-46,0,0,0,0.81,0,6.45,0,0.81,0,0,0.81,0,0
 48-58,0,0,0.57,0,0,5.16,0,0,0,0,0,1.15,0
 60-70,0,0,1.96,0,0,11.78,0,0,0,0,0,0.98,0
 72-82,0,0,1.96,0,0,13.74,0.98,0,0,0,0,3.93,0.98
 84-94,0,0,2.12,1.06,0,31.86,0,1.06,0,0,0,3.19,0
 96-106,0,0,1.09,0,0,25.14,0,0,0,0,0,1.09,0
108-118,0,0.77,1.53,0,0.77,19.92,0,0.77,0,0,0.77,0.77,0
120,0,0,1.96,0,0,23.52,0,3.92,1.96,0,0,1.96,0
