stage,axial,blastomeres,endocrine_pancreas,epidermis,eye,gut,mesenchyme,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,somites
  3-4,13.18,197.67,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,79.69,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,13.14,2.63,0,0,15.77,2.63,0,0
 10-12,0,0,0,0,3.15,0,0,22.03,0,0,0,0,0,0,0
 14-21,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1
 24-34,0,0,0,2.46,0,0,0,3.28,0,0,0,0,4.93,0,0
 36-46,0,0,0,0.81,0,0,0,2.42,0,0,0,0,1.61,0,0
 48-58,0,0,0,0,0,0,0.57,1.72,0,1.15,0,0,1.15,0,0
 60-70,0,0,0,0,0.98,0,1.96,0,0,0,0,0,0,0,0
 72-82,0,0,0,1.96,0,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,1.06,1.06,0,0,0,0,1.06,0,1.06,0,0
 96-106,0,0,0,2.19,0,0,0,0,0,0,0,0,2.19,0,0
108-118,0,0,0,0,0,0,0,0.77,0,0.77,0.77,0,0.77,0,0
120,0,0,0,1.96,0,0,0,0,0,0,0,0,1.96,0,0
