stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,1054.23,8881.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118.6,0,0,0,0,0,0,0,0,0,0
  5-6,1556.93,10647.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.91,91.94,0,0,30.65,0,85.81,0,0,0,0,0,0,0,0,0,0
  7-9,70.98,86.75,0,10.51,0,0,0,194.52,0,0,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,2510.42,331.22,0,0,1645.57,0,7.89,0,0,0,0,0,0,0,0,0,0
 10-12,0,122.73,0,78.67,0,3.15,0,62.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1708.8,72.38,0,0,1079.41,0,0,9.44,9.44,0,0,6.29,0,0,0,0,0
 14-21,0,0,0,2,25,1,0,17,0,0,0,3,0,1,0,0,1,2,0,0,9,23,0,13,448,18,0,3,259,0,1,110,2,6,1336,398,0,0,0,0,27
 24-34,0,0,0,0,10.67,0.82,0,26.27,14.78,0.82,1.64,2.46,0,0,0,0,0.82,13.13,0.82,0,27.09,43.51,0,11.49,358.71,34.48,0.82,0.82,0.82,0,1.64,2.46,0.82,2.46,485.13,97.68,0,0,2.46,0,91.94
 36-46,0.81,0,0,0,0,0,0,12.89,15.31,0.81,0,10.47,0,0,0.81,0,0.81,11.28,0,0,16.11,35.45,0,6.45,374.64,37.87,1.61,0.81,0,0,0.81,0,0.81,0,13.7,116.02,0,0.81,0,0,49.95
 48-58,0.57,0,0,0,2.87,0.57,0,37.87,18.36,0,0.57,13.2,0,0,0,0,0,18.94,0.57,0,14.92,40.74,0,8.61,595.61,22.38,0,0,0,0.57,3.44,0,0,0,0,201.98,0,0,0.57,0,40.74
 60-70,0,0,0,0,2.94,0,0,38.28,16.69,1.96,0,22.58,0,0,0.98,0,0,30.43,0,0,4.91,24.54,0,8.83,496.65,17.67,0,0,0,0,3.93,0,0,0.98,0,203.18,0,0,0,0,37.3
 72-82,0,0,0.98,0,4.91,3.93,0,45.16,9.82,0,1.96,72.64,0.98,0,0.98,0.98,0,41.23,0,0.98,8.83,58.9,0.98,7.85,482.98,4.91,0,0.98,0,0.98,2.94,0,1.96,0,0,100.13,1.96,0.98,1.96,1.96,35.34
 84-94,0,0,0,0,7.43,2.12,0,70.09,10.62,0,0,63.72,1.06,0,0,2.12,0,40.36,0,0,18.05,40.36,4.25,8.5,330.29,7.43,0,3.19,0,0,2.12,0,0,0,0,62.66,1.06,0,1.06,2.12,37.17
 96-106,0,0,0,0,6.56,2.19,0,37.16,27.32,0,1.09,112.56,1.09,0,0,2.19,0,20.76,1.09,3.28,8.74,52.46,0,5.46,228.4,4.37,0,0,0,0,5.46,0,1.09,2.19,0,20.76,0,1.09,3.28,1.09,38.25
108-118,0,0,0,0,4.6,1.53,0.77,19.15,28.34,0.77,0,81.19,0,0,0,0,0.77,51.32,0,2.3,18.38,34.47,1.53,13.02,221.36,4.6,0.77,1.53,0,0.77,1.53,0,0,0,0,16.09,0,0,0.77,0,77.36
120,0,0,0,0,5.88,5.88,0,21.56,21.56,0,0,80.35,0,0,0,0,0,25.48,0,0,5.88,27.44,1.96,11.76,190.1,7.84,0,0,0,0,5.88,0,0,0,0,9.8,1.96,1.96,0,0,29.4
