stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,slow.muscle,spinal.cord,taste,vasculature,visceral.smooth.muscle
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,2.63,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,2.63,0,0,2.63,0,10.51,0,0,0,0,0,0,0
 10-12,3.15,0,9.44,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,28.32,0,0,3.15,0,6.29,0,0,0,0,0,0,0
 14-21,0,1,2,7,0,0,0,0,0,0,0,2,0,0,6,0,0,0,0,0,0,0,0,2,0,2,0,0,111,0,5,0,0,0,0,0
 24-34,0,0,0.82,10.67,0,0,3.28,0,0.82,0,0,0.82,0,0,32.83,0,0,0.82,0,1.64,8.21,0,0.82,18.88,2.46,1.64,0,0,485.13,0,6.57,0,4.1,0,0,0
 36-46,0,0.81,0,8.86,0,0,0.81,0.81,1.61,0,0,0,4.03,0,23.36,0,0.81,0,0,0,4.03,0,0.81,11.28,4.83,0,0,0,445.54,0.81,4.83,1.61,4.83,0,0.81,0
 48-58,0,0,0,4.02,0,0,4.59,0,3.44,0,1.72,0,14.92,0,12.62,0,0.57,1.15,0,2.3,4.59,0,1.15,15.49,2.87,1.72,0,0,283.46,0,4.59,0,3.44,0,0,0
 60-70,0,0.98,0,12.76,0,0,4.91,0,5.89,0,3.93,0.98,7.85,0,12.76,0,1.96,0,0,0.98,7.85,0,0,10.8,0.98,0.98,0,0,339.61,0,2.94,0,1.96,2.94,0,0
 72-82,0,1.96,0.98,18.65,0,0,3.93,0,4.91,0.98,4.91,5.89,4.91,0,34.36,0,1.96,0,0,1.96,10.8,0.98,0.98,11.78,5.89,5.89,0,0,334.75,0,0,0,3.93,0,0,0
 84-94,0,1.06,0,36.11,2.12,0,5.31,0,11.68,0,6.37,20.18,7.43,0,45.67,1.06,0,0,1.06,3.19,11.68,0,0,4.25,2.12,7.43,0,0,922.91,0,3.19,0,2.12,8.5,0,0
 96-106,0,0,0,63.39,0,2.19,8.74,0,15.3,1.09,5.46,31.69,1.09,2.19,57.92,0,2.19,1.09,0,6.56,10.93,0,1.09,27.32,4.37,16.39,0,1.09,813.08,0,2.19,0,0,20.76,0,2.19
108-118,0,0.77,0,91.92,0.77,6.89,7.66,0,13.79,0.77,2.3,42.13,0,1.53,68.94,1.53,1.53,6.13,0,4.6,21.45,0,0,13.79,6.13,13.02,0,0,825.71,0,9.96,1.53,0.77,34.47,0.77,0
120,0,0,0,96.03,0,3.92,0,0,21.56,0,1.96,45.08,0,1.96,45.08,0,7.84,15.68,0,5.88,15.68,0,1.96,19.6,9.8,5.88,0,0,631.05,0,7.84,0,0,11.76,0,0
