stage,blastomeres,epidermis,erythrocytes,eye,immune,mesenchyme,neural,olfactory,periderm,spinal_cord,vasculature
  5-6,6.13,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,4,0,1,0,0,0,0
 24-34,0,0,0,0,11.49,0,0,0,1.64,0,0
 36-46,0,0,0,0,17.72,0,0,0,0,0,0
 48-58,0,0,0,0,27.54,0,0.57,0.57,0,0,0
 60-70,0,0,0.98,0,24.54,0,0,0,0,0.98,0
 72-82,0,0,0.98,0.98,40.25,0,1.96,0,0,0,0
 84-94,0,0,0,0,56.29,0,0,0,0,0,0
 96-106,0,1.09,0,0,74.31,0,3.28,1.09,0,0,1.09
108-118,0,0,0,0,42.89,0.77,0.77,0,0,0,0.77
120,0,0,0,1.96,47.03,1.96,1.96,0,0,0,0
