stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,heart,immune,ionocyte,iridophores,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.77,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,3.15,0,0,78.67,0,0,6.29,0,0,50.35,0,0,0,0,0
 14-21,0,1,7,0,2,0,0,0,0,14,0,0,0,0,5,0,0,8,25,1,0,0,1,0,1,59,1,284,1732,7,0,0,0,0
 24-34,0,0,1.64,0,4.1,19.7,0,0,0.82,6.57,0.82,0,0,0,9.85,0,0,20.52,55.82,2.46,0,0,0,0,0.82,2.46,0,73.88,590.2,18.06,0,4.1,0,0
 36-46,0,0,0,0,5.64,23.36,0.81,0,2.42,5.64,0,0,0,0,4.03,0,0,12.89,33.84,0,0.81,0,0,0,0,0,0,21.75,20.14,10.47,0.81,1.61,0,0
 48-58,0,0,0.57,0,9.18,16.07,0,0,2.3,2.3,0,0,0,0,3.44,0,0,30.99,22.38,1.15,0.57,0,0,0,1.15,0,0,10.33,0,5.16,0,0,0,0
 60-70,0,0,0,0,10.8,37.3,0,0.98,0,1.96,0,0.98,0,0,5.89,0,5.89,32.39,23.56,0,0,0,0,0,0,0,0,4.91,0,0,6.87,0,13.74,0.98
 72-82,0,0,0.98,1.96,6.87,40.25,0,0,1.96,0.98,0,0,0,0,0.98,0,3.93,31.41,15.71,0,0,0,0,0,0,0,0,8.83,0,0.98,15.71,0.98,45.16,0
 84-94,0,0,0,1.06,5.31,38.23,0,1.06,2.12,3.19,0,0,0,0,3.19,0,4.25,44.61,5.31,0,0,0,0,0,0,0,0,8.5,0,0,21.24,0,46.73,0
 96-106,0,0,1.09,0,12.02,30.6,0,0,0,5.46,1.09,1.09,1.09,0,8.74,0,2.19,53.55,13.11,0,0,0,0,1.09,2.19,0,0,8.74,0,0,20.76,4.37,95.08,0
108-118,0,0,0,0.77,8.43,26.81,0,0,0.77,2.3,0.77,0,0,0,10.72,0.77,2.3,52.09,9.96,0,0,0.77,0,0,3.06,0,0,9.96,0,0,24.51,0.77,45.19,0
120,0,0,1.96,3.92,1.96,23.52,0,0,0,0,0,0,0,1.96,1.96,0,0,78.39,5.88,0,0,0,0,0,0,0,0,1.96,0,0,7.84,0,52.91,0
