stage,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,otic,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,2,2,3,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,3,3,4,0,0,0,2,1,38,20,1,0,0,0,0,0
 24-34,0.82,0.82,0,6.57,8.21,0,0,0,0.82,0,4.1,0,0,0,0,0.82,4.93,0,0,9.03,16.42,0.82,0,0,0.82,0,0.82,22.98,14.78,2.46,0,0,4.93,0,3.28
 36-46,0,0.81,0,5.64,19.34,0,0,0.81,0,0,4.83,0,0.81,0,0,0,0.81,0.81,0,7.25,5.64,1.61,0,0,0.81,0,1.61,15.31,1.61,0.81,0,0,1.61,0,0.81
 48-58,0,0,0.57,6.31,9.75,0,0,1.72,0,0.57,2.87,0,0.57,0.57,0,0,5.16,0,0.57,1.15,10.33,1.72,0.57,0,0,0,0,6.89,0,2.87,0,0.57,1.72,0,0
 60-70,0,0,0,0.98,12.76,0,0,0,0,0,0,0,0,0,0,0,25.52,0,0,0.98,5.89,0.98,0.98,0,0,0,0.98,7.85,0,0,0,1.96,0.98,1.96,0
 72-82,0,0.98,0,10.8,5.89,0.98,0.98,3.93,0,0,1.96,0,0,0,0,0,25.52,0,1.96,2.94,12.76,0.98,0,1.96,0,0,1.96,3.93,0,0,0,5.89,2.94,8.83,0
 84-94,0,1.06,2.12,8.5,8.5,0,0,2.12,0,0,1.06,0,2.12,0,0,0,14.87,1.06,1.06,5.31,9.56,2.12,1.06,0,1.06,0,1.06,2.12,0,1.06,0,4.25,3.19,13.81,0
 96-106,0,1.09,1.09,15.3,8.74,0,1.09,3.28,1.09,0,1.09,0,2.19,0,0,0,16.39,0,1.09,4.37,12.02,1.09,0,2.19,0,0,0,2.19,0,0,0,10.93,12.02,7.65,0
108-118,0,1.53,3.06,9.96,7.66,0,0.77,1.53,0,0,0.77,0,3.83,0,1.53,0.77,19.15,0,0,6.89,3.83,2.3,0,4.6,1.53,0,2.3,6.13,0,0,0.77,6.13,4.6,5.36,0.77
120,0,3.92,1.96,7.84,21.56,0,0,3.92,0,0,1.96,7.84,1.96,0,0,0,29.4,0,1.96,9.8,9.8,15.68,0,5.88,0,0,1.96,7.84,0,1.96,0,1.96,0,7.84,0
