stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,pronephros,slow.muscle,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.18,0,0,0,6.29,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,41,0,0,0,1,0,0,0,0,20,0,0,0,0
 24-34,0,0,0.82,0.82,0.82,4.1,0,0,0,0,0,0,0,0,0,0,0,0,0.82,0,0,0,220.81,0,0.82,0.82,0,0,0,0,0,59.1,0,0,0,0
 36-46,0,0,0,1.61,0,6.45,0,0,0,2.42,0,0,0,0,0,0,0,0,0.81,0,0,0,451.17,0,3.22,0,0,1.61,0.81,0,0,68.48,0,0,0,0
 48-58,0,0,0,1.72,0,41.89,0,0,0,6.31,0,0,1.15,0,0,0,0,0,6.31,0,1.15,1.72,692.01,0.57,1.72,0,0,1.72,0,0,0,59.1,0,0.57,0,0.57
 60-70,0,0,0,0.98,0,124.65,0,0,0,14.72,0,0.98,0,0,0,0,0.98,0.98,7.85,0,0.98,0,1156.23,0,1.96,0,0,0,0,0,0.98,79.5,0,0,0,1.96
 72-82,0,0,1.96,5.89,1.96,129.58,0,0,0,22.58,0.98,0,0,0.98,0,0.98,0,0,10.8,0,1.96,0.98,1059.21,0,1.96,0,0,1.96,0,0,0,51.05,0.98,1.96,0,0.98
 84-94,0,0,2.12,9.56,2.12,97.71,1.06,0,0,20.18,1.06,1.06,1.06,1.06,1.06,1.06,0,0,11.68,0,1.06,2.12,455.61,0,2.12,2.12,0,1.06,0,0,0,22.3,0,0,1.06,0
 96-106,0,0,2.19,8.74,1.09,73.22,0,1.09,1.09,14.21,1.09,0,0,0,1.09,0,0,0,9.84,1.09,0,1.09,401.07,0,1.09,5.46,0,2.19,0,0,0,8.74,2.19,0,0,0
108-118,0,0,0.77,3.06,0.77,49.79,0,1.53,1.53,9.19,0,0,0,0,0,0,0,0,6.89,0.77,0.77,3.06,412.09,0,2.3,0.77,0,2.3,0,0.77,0,9.96,0.77,0.77,0.77,0
120,0,0,1.96,11.76,0,62.71,0,0,1.96,7.84,0,0,0,5.88,0,0,0,0,5.88,0,1.96,0,585.98,0,3.92,1.96,0,1.96,0,0,0,9.8,0,1.96,3.92,0
