stage,blastomeres,epidermis,eye,fin.epithelia,glial,gut,heart,mesenchyme,neural,paraxial.mesoderm,periderm,spinal.cord,vasculature
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,2.63,2.63,0,0,0
 10-12,0,0,0,0,0,0,0,0,6.29,0,0,0,0
 24-34,0,0,0,0,0,0,0,0.82,0.82,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0.81,0,0.81,0,0
 48-58,0,0,0.57,0,0,0,0,1.15,0.57,0,0,0,0
 60-70,0,0,9.82,0,0,0,0,0,0.98,0,2.94,0,0
 72-82,0,0,13.74,0,0.98,0.98,0,0,1.96,0,3.93,0,0
 84-94,0,0,5.31,0,1.06,0,0,0,1.06,0,5.31,0,0
 96-106,0,0,7.65,0,1.09,0,1.09,0,0,0,9.84,0,0
108-118,0,0.77,6.89,0.77,0.77,0,0,1.53,0.77,0,2.3,0,0.77
120,0,0,3.92,0,1.96,0,0,0,0,0,5.88,1.96,0
